,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount
Alameda Total,,,"3,923","7,946","$4,527,188","4,324","8,563","$4,611,873","4,335","8,611","$4,437,393","4,176","8,336","$4,658,114","5,117","9,655","$5,309,202","5,718","10,958","$7,018,859","6,484","11,841","$7,938,409","6,609","12,497","$9,387,684","6,980","14,903","$10,212,275","6,828","14,832","$10,727,017","6,617","14,884","$10,910,490","6,213","14,276","$10,447,744","5,580","12,963","$9,509,343","5,725","13,068","$9,194,508","5,425","12,167","$8,748,610","4,759","12,308","$8,481,232","4,851","12,026","$8,207,101","4,739","10,605","$7,614,419","5,192","12,115","$8,043,398","6,419","18,606","$8,855,084","5,322","11,717","$10,344,302"
,California College Promise Grant Total,,"3,883","6,078","$1,085,696","4,293","6,642","$1,204,515","4,307","6,715","$1,099,959","4,123","6,325","$914,730","5,045","7,373","$1,148,620","5,641","8,511","$1,469,319","6,442","9,394","$1,636,492","6,507","9,684","$2,165,538","6,900","10,140","$2,935,732","6,615","9,854","$2,926,014","6,527","9,659","$2,892,273","6,124","9,126","$2,764,508","5,493","8,181","$2,479,262","5,700","8,252","$2,464,427","5,403","7,941","$2,303,174","4,601","6,586","$1,809,525","4,523","6,320","$1,627,181","3,963","5,426","$1,373,790","4,859","6,778","$1,719,825","5,433","7,532","$1,875,604","5,189","7,237","$1,844,439"
,,BOGW - Mehtod A-4 based on Veteran's or National Guard dependent status,5,7,"$1,640",2,2,$156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-? (unknown base),13,16,"$2,115",4,9,"$1,846",1,2,$23,1,1,$80,,,,3,3,$260,,,,14,16,"$2,402",6,11,"$2,967",,,,2,2,$230,1,1,$46,,,,1,1,$138,,,,,,,,,,,,,,,,,,,,,
,,California College Promise - Method A-1 based on TANF recipient status,191,290,"$49,291",177,251,"$39,689",105,140,"$15,255",99,122,"$13,490",128,165,"$18,000",82,112,"$14,965",65,81,"$11,388",37,51,"$9,291",32,39,"$10,810",17,20,"$4,807",13,16,"$4,508",10,11,"$3,266",9,10,"$1,748",9,10,"$1,840",3,6,"$1,702",1,1,$184,2,3,$552,,,,,,,,,,,,
,,California College Promise - Method A-2 based on SSI recipient status,282,431,"$57,155",266,406,"$52,624",297,452,"$47,474",218,343,"$31,260",194,257,"$26,380",180,280,"$32,408",189,282,"$32,487",155,216,"$33,269",116,161,"$33,419",96,138,"$27,324",41,54,"$8,809",37,45,"$10,856",26,38,"$6,164",31,41,"$9,292",49,71,"$14,789",25,35,"$6,992",2,2,$276,,,,,,,,,,1,3,"$1,127"
,,California College Promise - Method A-3 based on general assistance recipient status,26,35,"$6,832",7,10,"$1,300",10,12,$844,21,30,"$2,550",20,20,"$1,810",5,6,$970,13,15,"$1,391",17,23,"$4,324",15,20,"$5,635",4,4,$874,1,1,$276,1,1,$46,,,,6,6,"$1,426",2,4,$598,1,1,$299,,,,,,,,,,,,,,,
,,California College Promise - Method B based on income standards,931,"1,367","$217,067",939,"1,337","$201,227",997,"1,355","$172,452",773,"1,013","$109,380",953,"1,265","$140,470",812,"1,059","$126,131",808,"1,083","$144,365",502,672,"$118,372",440,560,"$130,847",368,501,"$116,679",257,316,"$69,345",224,266,"$59,225",225,276,"$65,481",160,204,"$46,483",185,239,"$55,108",69,82,"$21,988",43,52,"$12,926",17,20,"$4,232",10,10,"$2,622",19,20,"$3,496",42,43,"$8,832"
,,California College Promise - Method C based on financial need,"2,455","3,932","$751,596","2,916","4,627","$907,673","2,951","4,754","$863,911","3,020","4,816","$757,970","3,769","5,665","$961,760","4,572","7,043","$1,292,392","5,373","7,923","$1,444,794","5,793","8,700","$1,996,624","6,296","9,336","$2,747,270","6,136","9,191","$2,776,330","6,233","9,270","$2,809,105","5,861","8,802","$2,691,069","5,259","7,857","$2,405,869","5,508","7,990","$2,405,248","5,166","7,616","$2,228,401","4,517","6,467","$1,780,062","4,480","6,263","$1,613,427","3,949","5,406","$1,369,558","4,849","6,768","$1,717,203","5,414","7,512","$1,872,108","5,152","7,191","$1,834,480"
