,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years
,Cohort Year 2004-2005,Cohort Year 2004-2005,Cohort Year 2005-2006,Cohort Year 2005-2006,Cohort Year 2006-2007,Cohort Year 2006-2007,Cohort Year 2007-2008,Cohort Year 2007-2008,Cohort Year 2008-2009,Cohort Year 2008-2009,Cohort Year 2009-2010,Cohort Year 2009-2010,Cohort Year 2010-2011,Cohort Year 2010-2011,Cohort Year 2011-2012,Cohort Year 2011-2012,Cohort Year 2012-2013,Cohort Year 2012-2013,Cohort Year 2013-2014,Cohort Year 2013-2014,Cohort Year 2014-2015,Cohort Year 2014-2015
,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student
Alameda,91,286,110,354,95,344,96,372,71,288,90,391,86,326,84,310,106,358,124,426,126,455
Allan Hancock,236,872,246,983,250,1147,219,1083,229,1157,188,999,226,1087,192,1024,219,1139,208,1211,229,1237
American River,497,1890,462,1870,445,1956,431,2059,536,2561,386,2411,429,2223,354,2013,366,1978,388,2047,401,1928
Antelope Valley,264,1165,313,1246,322,1521,346,1798,353,1986,260,1663,218,1622,225,1586,223,1641,250,1742,246,1776
Bakersfield,479,1768,392,1623,449,1779,407,1657,480,1861,389,1764,285,1612,304,1479,280,1495,372,1832,331,1945
Barstow,66,263,55,223,56,235,59,216,68,277,51,251,32,168,41,197,29,192,33,158,44,240
Berkeley City,62,166,67,206,95,240,99,313,90,353,70,379,90,368,98,391,100,395,140,502,190,567
Butte,171,806,199,798,197,863,233,999,227,1156,238,1208,341,1336,323,1262,324,1355,367,1493,381,1462
Cabrillo,333,1287,315,1317,269,1301,253,1332,209,1301,191,1146,240,1181,233,1184,241,1163,273,1282,284,1311
Canada,56,237,89,280,88,299,84,314,111,388,78,370,101,388,117,457,111,404,119,446,129,411
Canyons,351,1185,439,1345,484,1525,545,2012,561,2149,463,1785,412,1639,484,1762,608,2259,791,2600,737,2492
Cerritos,300,1634,360,1751,331,1796,319,1997,359,2242,311,2247,268,2035,253,1954,277,1998,317,2298,290,2220
Cerro Coso,57,225,48,221,81,241,82,235,97,308,45,248,43,231,59,249,43,213,56,248,46,240
Chabot Hayward,253,1041,306,1095,242,1000,260,1050,252,1134,179,1081,223,1162,192,990,236,1123,245,1112,268,1186
Chaffey,389,1717,418,1857,176,776,391,1990,435,2294,405,2377,302,1942,284,1902,332,2100,396,2602,355,2497
Citrus,326,1160,315,1160,307,1272,379,1457,304,1354,367,1510,310,1416,322,1416,367,1491,394,1680,415,1650
Coalinga College,142,472,97,401,76,269,36,259,59,326,35,240,54,260,88,305,66,316,83,310,66,305
Coastline,36,156,46,205,43,228,48,303,56,308,43,292,79,378,64,406,73,348,65,472,84,523
Columbia,68,273,59,262,52,294,53,319,49,315,34,335,38,302,43,281,47,284,54,310,45,288
Compton,52,273,46,233,40,141,60,270,61,337,55,357,67,463,70,436,52,410,73,484,78,533
Contra Costa,106,556,83,580,103,603,116,680,90,669,75,552,90,538,112,546,119,660,108,603,99,557
Copper Mountain College,47,226,63,220,41,231,43,223,40,246,24,243,38,225,33,222,28,221,34,214,27,210
Cosumnes River,229,871,264,941,227,996,277,1132,245,1239,233,1276,220,1145,184,1112,205,1126,250,1170,286,1227
Crafton Hills,160,626,169,703,169,719,161,735,161,773,159,807,130,744,112,657,173,854,129,729,185,882
Cuesta,360,1103,279,1007,334,1125,297,1058,315,1197,332,1193,331,1182,264,1126,303,1070,355,1145,294,1189
Cuyamaca,170,662,157,694,147,744,192,764,188,923,171,893,159,883,173,750,166,768,223,984,196,873
Cypress,251,1017,280,1068,251,1060,286,1251,364,1429,373,1739,404,1633,317,1534,304,1511,323,1501,332,1657
Deanza,809,1913,941,2151,1030,2509,1053,2489,1155,2836,991,2708,822,2307,883,2550,1015,2887,1066,2871,1144,2968
Desert,194,919,194,920,185,994,192,1052,224,1327,218,1308,195,1226,170,1170,185,1225,166,1143,194,1299
Diablo Valley,807,2139,836,2356,875,2533,812,2526,765,2544,601,2436,655,2214,586,2143,733,2469,781,2465,824,2472
East LA,292,1242,343,1401,282,1392,288,1442,240,1390,228,1622,281,1911,231,1959,252,1720,281,1828,276,2017
El Camino,542,1962,531,1972,540,2147,668,2531,682,2798,616,2673,542,2342,529,2372,545,2521,560,2659,629,2749
Evergreen Valley,262,901,228,837,232,965,198,947,219,998,173,893,165,930,168,827,143,755,240,900,236,923
Feather River,58,114,65,154,65,166,54,143,59,185,66,168,47,164,71,225,59,207,61,220,69,245
Folsom Lake,156,542,152,583,199,741,246,957,235,925,235,1009,217,878,213,897,191,922,257,911,257,967
Foothill,320,802,293,744,315,747,317,811,312,841,325,884,369,984,333,953,448,1075,459,1098,473,1062
Fresno City,448,1782,406,1567,432,1683,403,1743,416,1928,466,2091,407,1918,387,1813,404,1914,448,2122,407,2063
Fullerton,530,1817,605,1937,561,2115,612,2332,674,2624,648,2730,549,2572,525,2359,553,2267,609,2541,591,2508
Gavilan,109,472,107,451,92,485,112,579,133,716,90,615,97,612,101,544,112,591,126,614,126,700
Glendale,540,1525,569,1647,572,1728,586,1973,606,2063,397,1895,483,2059,453,1774,335,1466,381,1565,489,1857
Golden West,282,986,319,1092,293,1050,286,1126,292,1153,302,1273,360,1350,387,1380,414,1394,413,1381,434,1425
Grossmont,513,1832,431,1757,456,1846,506,1912,476,1885,419,2006,440,2019,395,1923,377,1759,444,2039,481,2161
Hartnell,128,682,133,810,131,846,141,917,149,1037,147,988,126,838,176,1118,191,976,205,1078,276,1230
Imperial,83,337,166,650,161,700,197,761,199,841,130,797,142,884,143,717,137,819,206,900,195,962
