year,college,eops_headcount,eops_care_headcount
2012,Alameda,628.0,23.0
2012,Allan Hancock,846.0,187.0
2012,American River,897.0,109.0
2012,Antelope Valley,528.0,103.0
2012,Bakersfield,635.0,154.0
2012,Barstow,281.0,56.0
2012,Berkeley City,352.0,30.0
2012,Butte,1256.0,101.0
2012,Cabrillo,192.0,45.0
2012,Canada,264.0,30.0
2012,Canyons,490.0,36.0
2012,Cerritos,705.0,52.0
2012,Cerro Coso,305.0,69.0
2012,Chabot Hayward,224.0,45.0
2012,Chaffey,839.0,54.0
2012,Citrus,533.0,44.0
2012,Coalinga College,124.0,21.0
2012,Coastline,170.0,5.0
2012,Columbia,190.0,12.0
2012,Compton,855.0,199.0
2012,Contra Costa,498.0,55.0
2012,Copper Mountain College,107.0,28.0
2012,Cosumnes River,583.0,67.0
2012,Crafton Hills,354.0,39.0
2012,Cuesta,211.0,56.0
2012,Cuyamaca,528.0,75.0
2012,Cypress,423.0,92.0
2012,Deanza,631.0,48.0
2012,Desert,242.0,52.0
2012,Diablo Valley,655.0,70.0
2012,East LA,1465.0,87.0
2012,El Camino,821.0,132.0
2012,Evergreen Valley,570.0,69.0
2012,Feather River,147.0,28.0
2012,Folsom Lake,163.0,36.0
2012,Foothill,456.0,38.0
2012,Fresno City,1260.0,144.0
2012,Fullerton,1148.0,106.0
2012,Gavilan,275.0,106.0
2012,Glendale,1738.0,28.0
2012,Golden West,965.0,37.0
2012,Grossmont,869.0,92.0
2012,Hartnell,465.0,115.0
2012,Imperial,1071.0,168.0
2012,Irvine,463.0,54.0
2012,LA City,2460.0,73.0
2012,LA Harbor,511.0,92.0
2012,LA Mission,581.0,45.0
2012,LA Pierce,759.0,24.0
2012,LA Swest,509.0,36.0
2012,LA Trade,1749.0,74.0
2012,LA Valley,1113.0,76.0
2012,Lake Tahoe,104.0,13.0
2012,Laney,564.0,196.0
2012,Las Positas,119.0,24.0
2012,Lassen,207.0,15.0
2012,Lemoore College,133.0,8.0
2012,Long Beach,1060.0,131.0
2012,Los Medanos,491.0,72.0
2012,Marin,326.0,38.0
2012,Mendocino,224.0,16.0
2012,Merced,941.0,104.0
2012,Merritt,414.0,70.0
2012,MiraCosta,532.0,40.0
2012,Mission,320.0,39.0
2012,Modesto,995.0,71.0
2012,Monterey,345.0,73.0
2012,Moorpark,289.0,17.0
2012,Moreno Valley,401.0,28.0
2012,Mt San Antonio,723.0,102.0
2012,Mt. San Jacinto,398.0,78.0
2012,Napa,144.0,34.0
2012,Norco,299.0,22.0
2012,Ohlone,172.0,23.0
2012,Orange Coast,1092.0,81.0
2012,Oxnard,725.0,136.0
2012,Palo Verde,380.0,30.0
2012,Palomar,847.0,46.0
2012,Pasadena,752.0,30.0
2012,Porterville,425.0,78.0
2012,Redwoods,814.0,81.0
2012,Reedley College,577.0,28.0
2012,Rio Hondo,741.0,93.0
2012,Riverside,478.0,59.0
2012,Sacramento City,853.0,104.0
2012,Saddleback,444.0,25.0
2012,San Bernardino,539.0,65.0
2012,San Diego City,724.0,47.0
2012,San Diego Mesa,675.0,35.0
2012,San Diego Miramar,420.0,30.0
2012,San Francisco,856.0,41.0
2012,San Joaquin Delta,847.0,178.0
2012,San Jose City,693.0,64.0
2012,San Mateo,361.0,11.0
2012,Santa Ana,1076.0,58.0
2012,Santa Barbara,1466.0,81.0
2012,Santa Monica,821.0,31.0
2012,Santa Rosa,492.0,40.0
2012,Santiago Canyon,286.0,15.0
2012,Sequoias,932.0,135.0
2012,Shasta,716.0,41.0
2012,Sierra,527.0,79.0
2012,Siskiyous,318.0,26.0
2012,Skyline,325.0,53.0
2012,Solano,252.0,29.0
2012,Southwestern,1771.0,97.0
2012,Taft,211.0,11.0
2012,Ventura,629.0,41.0
2012,Victor Valley,1152.0,110.0
2012,West LA,514.0,39.0
2012,West Valley,288.0,23.0
2012,Woodland,160.0,31.0
2012,Yuba,610.0,68.0
2013,Alameda,519.0,48.0
2013,Allan Hancock,700.0,164.0
2013,American River,857.0,85.0
2013,Antelope Valley,589.0,101.0
2013,Bakersfield,595.0,120.0
2013,Barstow,243.0,54.0
2013,Berkeley City,235.0,31.0
2013,Butte,1179.0,106.0
2013,Cabrillo,182.0,50.0
2013,Canada,398.0,32.0
2013,Canyons,431.0,44.0
2013,Cerritos,695.0,64.0
2013,Cerro Coso,260.0,39.0
2013,Chabot Hayward,220.0,47.0
2013,Chaffey,791.0,58.0
2013,Citrus,563.0,37.0
2013,Coalinga College,146.0,11.0
2013,Coastline,144.0,7.0
2013,Columbia,185.0,12.0
2013,Compton,788.0,239.0
2013,Contra Costa,491.0,57.0
2013,Copper Mountain College,110.0,24.0
2013,Cosumnes River,624.0,57.0
2013,Crafton Hills,380.0,31.0
2013,Cuesta,222.0,48.0
2013,Cuyamaca,452.0,59.0
2013,Cypress,461.0,56.0
2013,Deanza,686.0,35.0
2013,Desert,248.0,49.0
2013,Diablo Valley,632.0,44.0
2013,East LA,1731.0,105.0
2013,El Camino,946.0,111.0
2013,Evergreen Valley,648.0,54.0
2013,Feather River,176.0,12.0
2013,Folsom Lake,161.0,31.0
2013,Foothill,407.0,22.0
2013,Fresno City,1211.0,136.0
2013,Fullerton,1077.0,113.0
2013,Gavilan,257.0,110.0
2013,Glendale,1832.0,24.0
2013,Golden West,967.0,35.0
2013,Grossmont,849.0,101.0
2013,Hartnell,480.0,97.0
2013,Imperial,973.0,167.0
2013,Irvine,545.0,37.0
2013,LA City,2246.0,64.0
2013,LA Harbor,434.0,61.0
2013,LA Mission,501.0,36.0
2013,LA Pierce,808.0,17.0
2013,LA Swest,552.0,61.0
2013,LA Trade,1627.0,158.0
2013,LA Valley,1026.0,67.0
2013,Lake Tahoe,98.0,10.0
2013,Laney,557.0,145.0
2013,Las Positas,177.0,19.0
2013,Lassen,202.0,18.0
2013,Lemoore College,156.0,12.0
2013,Long Beach,1159.0,116.0
2013,Los Medanos,455.0,74.0
2013,Marin,288.0,20.0
2013,Mendocino,222.0,10.0
