,,,Term
,,,Annual 2016-2017
College Name,,EOPS Status,Student Count
Alameda Total,,,"9,803"
,EOPS and CARE participant,,36
,EOPS participant,,560
,Not an EOPS/CARE participant,,"9,207"
Allan Hancock Total,,,"21,678"
,EOPS and CARE participant,,127
,EOPS participant,,"1,061"
,Not an EOPS/CARE participant,,"20,490"
American River Total,,,"45,250"
,EOPS and CARE participant,,78
,EOPS participant,,"1,082"
,Not an EOPS/CARE participant,,"44,090"
Antelope Valley Total,,,"18,609"
,EOPS and CARE participant,,105
,EOPS participant,,758
,Not an EOPS/CARE participant,,"17,746"
Bakersfield Total,,,"31,495"
,EOPS and CARE participant,,23
,EOPS participant,,"1,429"
,Not an EOPS/CARE participant,,"30,043"
Barstow Total,,,"4,733"
,EOPS and CARE participant,,76
,EOPS participant,,394
,Not an EOPS/CARE participant,,"4,263"
Berkeley City Total,,,"11,219"
,EOPS and CARE participant,,11
,EOPS participant,,258
,Not an EOPS/CARE participant,,"10,950"
Butte Total,,,"15,705"
,EOPS and CARE participant,,83
,EOPS participant,,"1,257"
,Not an EOPS/CARE participant,,"14,365"
Cabrillo Total,,,"17,397"
,EOPS and CARE participant,,57
,EOPS participant,,448
,Not an EOPS/CARE participant,,"16,892"
Canada Total,,,"9,963"
,EOPS and CARE participant,,25
,EOPS participant,,438
,Not an EOPS/CARE participant,,"9,500"
Canyons Total,,,"32,170"
,EOPS and CARE participant,,32
,EOPS participant,,597
,Not an EOPS/CARE participant,,"31,541"
Cerritos Total,,,"31,193"
,EOPS and CARE participant,,62
,EOPS participant,,"1,166"
,Not an EOPS/CARE participant,,"29,965"
Cerro Coso Total,,,"7,498"
,EOPS and CARE participant,,28
,EOPS participant,,366
,Not an EOPS/CARE participant,,"7,104"
Chabot Hayward Total,,,"20,464"
,EOPS and CARE participant,,42
,EOPS participant,,407
,Not an EOPS/CARE participant,,"20,015"
Chaffey Total,,,"29,387"
,EOPS and CARE participant,,75
,EOPS participant,,900
,Not an EOPS/CARE participant,,"28,412"
Citrus Total,,,"20,291"
,EOPS and CARE participant,,28
,EOPS participant,,754
,Not an EOPS/CARE participant,,"19,509"
Clovis Total,,,"10,062"
,EOPS and CARE participant,,40
,EOPS participant,,285
,Not an EOPS/CARE participant,,"9,737"
Coalinga College Total,,,"4,999"
,EOPS and CARE participant,,25
,EOPS participant,,209
,Not an EOPS/CARE participant,,"4,765"
Coastline Total,,,"17,826"
,EOPS and CARE participant,,10
,EOPS participant,,393
,Not an EOPS/CARE participant,,"17,423"
Columbia Total,,,"4,044"
,EOPS and CARE participant,,18
,EOPS participant,,307
,Not an EOPS/CARE participant,,"3,719"
Compton Total,,,"12,438"
,EOPS and CARE participant,,120
,EOPS participant,,827
,Not an EOPS/CARE participant,,"11,491"
Contra Costa Total,,,"10,156"
,EOPS and CARE participant,,56
,EOPS participant,,747
,Not an EOPS/CARE participant,,"9,353"
Copper Mountain College Total,,,"2,723"
,EOPS and CARE participant,,38
,EOPS participant,,187
,Not an EOPS/CARE participant,,"2,498"
Cosumnes River Total,,,"19,637"
,EOPS and CARE participant,,54
,EOPS participant,,654
,Not an EOPS/CARE participant,,"18,929"
Crafton Hills Total,,,"8,143"
,EOPS and CARE participant,,40
,EOPS participant,,448
,Not an EOPS/CARE participant,,"7,655"
Cuesta Total,,,"16,276"
,EOPS and CARE participant,,59
,EOPS participant,,270
