year,school.name,ope6_id,location.lat,location.lon,admissions.admission_rate.overall,aid.ftft_pell_grant_rate,aid.ftft_federal_loan_rate,aid.pell_grant_rate,aid.federal_loan_rate,aid.loan_principal,aid.median_debt.pell_grant,aid.median_debt.no_pell_grant,aid.median_debt.first_generation_students,aid.median_debt.non_first_generation_students,student.demographics.race_ethnicity.white,student.demographics.race_ethnicity.black,student.demographics.race_ethnicity.hispanic,student.demographics.race_ethnicity.asian,student.demographics.race_ethnicity.aian,student.demographics.race_ethnicity.nhpi,student.demographics.race_ethnicity.two_or_more,student.demographics.race_ethnicity.non_resident_alien,student.demographics.race_ethnicity.unknown,student.demographics.men,student.demographics.women,student.demographics.student_faculty_ratio,student.demographics.faculty.race_ethnicity.two_or_more,student.demographics.faculty.race_ethnicity.aian,student.demographics.faculty.race_ethnicity.asian,student.demographics.faculty.race_ethnicity.black,student.demographics.faculty.race_ethnicity.hispanic,student.demographics.faculty.race_ethnicity.nhpi,student.demographics.faculty.race_ethnicity.non_resident_alien,student.demographics.faculty.race_ethnicity.unknown,student.demographics.faculty.race_ethnicity.white,student.demographics.faculty.men,student.demographics.faculty.women,student.enrollment.undergrad_12_month,cost.avg_net_price.public,cost.net_price.public.by_income_level.0-30000,cost.net_price.public.by_income_level.30001-48000,cost.net_price.public.by_income_level.48001-75000,cost.net_price.public.by_income_level.75001-110000,cost.net_price.public.by_income_level.110001-plus,cost.title_iv.public.by_income_level.0-30000,cost.title_iv.public.by_income_level.30001-48000,cost.title_iv.public.by_income_level.48001-75000,cost.title_iv.public.by_income_level.75001-110000,cost.title_iv.public.by_income_level.110001-plus,cost.attendance.academic_year,cost.tuition.in_state,cost.tuition.out_of_state,cost.booksupply,cost.roomboard.oncampus,cost.otherexpense.oncampus,cost.roomboard.offcampus,cost.otherexpense.offcampus,cost.otherexpense.withfamily,completion.title_iv.transf_completed_4yr_by.2yrs,completion.title_iv.transf_completed_4yr_by.3yrs,completion.title_iv.transf_completed_4yr_by.4yrs,completion.title_iv.transf_completed_4yr_by.6yrs,completion.title_iv.transf_completed_4yr_by.8yrs,aid.median_debt.income.0_30000,aid.median_debt.income.30001_75000,aid.median_debt.income.greater_than_75000,academics.program_percentage.agriculture,academics.program_percentage.resources,academics.program_percentage.architecture,academics.program_percentage.ethnic_cultural_gender,academics.program_percentage.communication,academics.program_percentage.communications_technology,academics.program_percentage.computer,academics.program_percentage.personal_culinary,academics.program_percentage.education,academics.program_percentage.engineering,academics.program_percentage.engineering_technology,academics.program_percentage.language,academics.program_percentage.family_consumer_science,academics.program_percentage.legal,academics.program_percentage.english,academics.program_percentage.humanities,academics.program_percentage.library,academics.program_percentage.biological,academics.program_percentage.mathematics,academics.program_percentage.military,academics.program_percentage.multidiscipline,academics.program_percentage.parks_recreation_fitness,academics.program_percentage.philosophy_religious,academics.program_percentage.theology_religious_vocation,academics.program_percentage.physical_science,academics.program_percentage.science_technology,academics.program_percentage.psychology,academics.program_percentage.security_law_enforcement,academics.program_percentage.public_administration_social_service,academics.program_percentage.social_science,academics.program_percentage.construction,academics.program_percentage.mechanic_repair_technology,academics.program_percentage.precision_production,academics.program_percentage.transportation,academics.program_percentage.visual_performing,academics.program_percentage.health,academics.program_percentage.business_marketing,academics.program_percentage.history
2012,Cuyamaca College,021113,32.744305,-116.942854,,0.4523,0.0098,0.2902,0.0244,3500.0,3500.0,4500.0,3500.0,3500.0,0.4801,0.0594,0.2937,0.0668,0.0032,0.0067,0.0535,0.0047,0.0318,0.4621,0.5379,25.0,,,,,,,,,,,,13109.0,1481.0,1481.0,,,,,182.0,0.0,0.0,0.0,0.0,7068.0,1386.0,6896.0,1500.0,,,10500.0,4000.0,3700.0,,0.023426062,0.065899582,0.127862595,0.143763214,3500.0,,,0.0251,0.0,0.0,0.0,0.0044,0.0,0.0236,0.0,0.0,0.0059,0.1699,0.0044,0.0251,0.031,0.003,0.2762,0.0,0.003,0.0325,0.0,0.1004,0.003,0.0,0.0,0.0177,0.0,0.0,0.0,0.0177,0.0,0.0,0.0118,0.0,0.0,0.031,0.0,0.2083,0.0059
2012,Grossmont College,001208,32.815246,-117.006277,,0.3899,0.045,0.2348,0.0304,3234.0,3209.5,3500.0,2826.0,3500.0,0.4358,0.066,0.2894,0.0852,0.0037,0.0072,0.0554,0.0354,0.0218,0.4446,0.5554,29.0,,,,,,,,,,,,25714.0,1879.0,1861.0,6844.0,,,,543.0,2.0,0.0,0.0,0.0,6844.0,1387.0,6897.0,1500.0,,,10500.0,4000.0,3700.0,0.009228741,0.033916849,0.067391304,0.152063722,0.190739461,3152.0,3500.0,3200.0,0.0,0.0,0.0,0.0011,0.0232,0.0011,0.0105,0.0442,0.0,0.0,0.0,0.0647,0.0111,0.0,0.0199,0.4196,0.0,0.0006,0.0138,0.0,0.0575,0.0083,0.0017,0.0,0.0039,0.0,0.0011,0.0746,0.0,0.0055,0.0,0.0,0.0,0.0,0.0265,0.1078,0.0984,0.005
2012,Imperial Valley College,001214,32.827209,-115.503563,,0.7614,0.0,0.5777,0.0,,,,,,0.0331,0.0069,0.8929,0.0054,0.0003,0.0,0.0002,0.0005,0.0608,0.4404,0.5596,28.0,,,,,,,,,,,,9820.0,2291.0,2291.0,,,,,586.0,0.0,0.0,0.0,0.0,8553.0,1326.0,6926.0,1665.0,,,10962.0,4158.0,4275.0,0.0045106,0.009451796,0.042888165,0.084625323,0.090963495,,,,0.0011,0.0,0.0,0.0,0.0011,0.0,0.027,0.0,0.0,0.0,0.0335,0.0011,0.027,0.0011,0.0022,0.3924,0.0011,0.0011,0.0119,0.0,0.0616,0.0,0.0,0.0,0.0011,0.0,0.0778,0.0832,0.0086,0.0714,0.0032,0.0032,0.0076,0.0,0.0108,0.0995,0.0692,0.0022
2012,MiraCosta College,001239,33.190483,-117.302606,,0.2165,0.0184,0.0985,0.0125,3500.0,3500.0,3500.0,3500.0,3500.0,0.4953,0.0369,0.2959,0.0668,0.0047,0.0058,0.0599,0.0107,0.024,0.4329,0.5671,30.0,,,,,,,,,,,,21722.0,3856.0,3856.0,,,,,263.0,0.0,0.0,0.0,0.0,9288.0,908.0,5610.0,1656.0,,,10962.0,4158.0,4266.0,,0.018660812,0.05026455,0.100352113,0.137440758,3500.0,,,0.011,0.005,0.0055,0.0,0.011,0.035,0.014,0.005,0.002,0.0,0.016,0.005,0.05,0.0,0.006,0.4078,0.0,0.0045,0.01,0.0,0.036,0.015,0.0,0.0,0.0105,0.0,0.014,0.0155,0.0005,0.024,0.0,0.0285,0.0,0.0,0.0085,0.1149,0.1414,0.0035
2012,Palomar College,001260,33.149483,-117.183978,,0.3291,0.0198,0.1508,0.0146,3840.0,4474.0,3500.0,4096.5,3500.0,0.4613,0.0327,0.346,0.0659,0.0073,0.006,0.0414,0.0097,0.0298,0.547,0.453,28.0,,,,,,,,,,,,35407.0,5592.0,5592.0,,,,,663.0,0.0,0.0,0.0,0.0,11131.0,1328.0,5224.0,1666.0,,,10962.0,4160.0,4272.0,,0.015274034,0.030807147,0.115942029,0.138613861,4194.0,3500.0,3500.0,0.0,0.0,0.0038,0.0011,0.0043,0.0168,0.0247,0.0008,0.0052,0.0003,0.0231,0.0222,0.016,0.0022,0.0014,0.3641,0.0057,0.0011,0.0024,0.0,0.0768,0.0003,0.0,0.0,0.0011,0.0,0.0033,0.0513,0.0,0.1609,0.0643,0.0027,0.0198,0.0019,0.013,0.0551,0.0545,0.0
2012,San Diego City College,001273,32.717403,-117.152733,,0.7722,0.0567,0.3408,0.0637,3500.0,3500.0,3500.0,3500.0,3500.0,0.2587,0.1158,0.4437,0.0912,0.0048,0.0048,0.039,0.0022,0.0398,0.4721,0.5279,27.0,,,,,,,,,,,,24688.0,5430.0,5430.0,,,,,606.0,0.0,0.0,0.0,0.0,11417.0,1140.0,5532.0,1665.0,,,10962.0,4158.0,4275.0,0.016414799,0.037115911,0.067783405,0.117544876,0.14293249,3500.0,3500.0,1750.0,0.0017,0.0,0.0,0.0052,0.0086,0.0129,0.0052,0.0595,0.0,0.0035,0.0725,0.0095,0.0587,0.0052,0.0069,0.2347,0.0,0.0475,0.0043,0.0,0.0311,0.0104,0.0026,0.0,0.0009,0.0,0.0285,0.0,0.0078,0.025,0.1208,0.0078,0.0431,0.0026,0.0173,0.1242,0.0345,0.0078
2012,San Diego Mesa College,001275,32.803825,-117.169165,,0.4302,0.0492,0.1722,0.0313,3500.0,3500.0,3500.0,3500.0,3500.0,0.3658,0.0642,0.2997,0.1594,0.0044,0.0072,0.0504,0.013,0.0359,0.4803,0.5197,30.0,,,,,,,,,,,,35781.0,6107.0,6107.0,,,,,566.0,0.0,0.0,0.0,0.0,11823.0,1140.0,5532.0,1665.0,,,10962.0,4158.0,4275.0,0.020676075,0.046950241,0.10675606,0.196428571,0.235705951,3500.0,3500.0,3401.5,0.0,0.0,0.0142,0.0021,0.0085,0.0064,0.01,0.0192,0.0,0.0085,0.0,0.0442,0.0356,0.0,0.0107,0.1595,0.0,0.047,0.0071,0.0,0.0962,0.0043,0.0007,0.0,0.0171,0.0021,0.0299,0.0,0.0,0.0199,0.0228,0.0,0.0,0.0,0.0648,0.1033,0.2578,0.0078
2012,San Diego Miramar College,011820,32.909757,-117.120261,,0.4339,0.0321,0.1722,0.0269,3500.0,3500.0,2565.0,3500.0,3500.0,0.3922,0.049,0.2093,0.2319,0.0049,0.0098,0.0534,0.0031,0.0464,0.5512,0.4488,30.0,,,,,,,,,,,,20702.0,6135.0,6135.0,,,,,234.0,0.0,0.0,0.0,0.0,11673.0,1140.0,5532.0,1665.0,,,10962.0,4158.0,4275.0,0.028252788,0.048917402,0.094897959,0.171581769,0.185279188,3500.0,3500.0,2250.0,0.0,0.0,0.0,0.0,0.006,0.0,0.008,0.0,0.0,0.006,0.0,0.004,0.0652,0.0491,0.009,0.0491,0.0,0.0532,0.0241,0.0,0.002,0.0191,0.0,0.0,0.0261,0.0,0.0311,0.1635,0.0,0.1314,0.0,0.1494,0.0,0.0211,0.015,0.0241,0.1434,0.0
2012,Southwestern College,001294,32.640281,-116.996803,,0.4739,0.0135,0.2431,0.0198,3500.0,3500.0,3500.0,3500.0,3500.0,0.2402,0.0547,0.5302,0.133,0.0118,0.0105,0.0,0.0019,0.0177,0.4728,0.5272,23.0,,,,,,,,,,,,28546.0,4653.0,4653.0,,,,,731.0,0.0,0.0,0.0,0.0,10613.0,1334.0,6654.0,1665.0,,,10962.0,4275.0,4275.0,0.012461059,0.024926686,0.063363119,0.118073537,0.140881148,3500.0,,,0.0029,0.0,0.0087,0.0014,0.0101,0.0108,0.0339,0.0065,0.0,0.0014,0.0281,0.0231,0.0288,0.0173,0.0101,0.1802,0.0,0.0043,0.0036,0.0,0.0447,0.0087,0.0058,0.0,0.0029,0.0014,0.0505,0.1464,0.0115,0.049,0.0216,0.0173,0.0,0.0,0.0202,0.1428,0.1009,0.005
2012,Butte College,008073,39.649782,-121.644831,,0.5861,0.1099,0.5236,0.1716,5500.0,5500.0,5500.0,5561.0,5500.0,0.6688,0.0279,0.1487,0.0605,0.0223,0.0042,0.0012,0.012,0.0545,0.476,0.524,25.0,,,,,,,,,,,,16587.0,4343.0,4326.0,8842.0,10138.0,,,601.0,1.0,1.0,0.0,0.0,10138.0,1334.0,6134.0,1660.0,,,10962.0,3844.0,3844.0,0.009269988,0.019823117,0.051038367,0.092065107,0.125127162,5800.0,5500.0,5500.0,0.0111,0.0024,0.0,0.0,0.0062,0.0094,0.0094,0.0291,0.0,0.001,0.0749,0.0,0.0545,0.0042,0.0111,0.05,0.0,0.0024,0.0028,0.0,0.0,0.0017,0.0,0.0,0.0017,0.0,0.0,0.2731,0.0,0.1898,0.0042,0.009,0.0236,0.0142,0.0128,0.1409,0.0604,0.0
