cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
Allan Hancock College,University of California-Berkeley,34.943716,-120.421144,37.871918,-122.260463,425374,15048,OK
Allan Hancock College,University of California-Davis,34.943716,-120.421144,38.539667,-121.749567,511256,17580,OK
Allan Hancock College,University of California-Irvine,34.943716,-120.421144,33.648434,-117.841248,319436,11754,OK
Allan Hancock College,University of California-Los Angeles,34.943716,-120.421144,34.066927,-118.168965,261924,9802,OK
Allan Hancock College,University of California-Merced,34.943716,-120.421144,37.366237,-120.424944,370406,13778,OK
Allan Hancock College,University of California-Riverside,34.943716,-120.421144,33.97246,-117.32741,343725,12851,OK
Allan Hancock College,University of California-San Diego,34.943716,-120.421144,32.877749,-117.235866,475821,16858,OK
Allan Hancock College,University of California-San Francisco,34.943716,-120.421144,37.763737,-122.458489,430967,15200,OK
Allan Hancock College,University of California-Santa Barbara,34.943716,-120.421144,34.416297,-119.846426,107302,4181,OK
Allan Hancock College,University of California-Santa Cruz,34.943716,-120.421144,36.995584,-122.058801,322010,11776,OK
American River College,University of California-Berkeley,38.65085,-121.349672,37.871918,-122.260463,143497,5829,OK
American River College,University of California-Davis,38.65085,-121.349672,38.539667,-121.749567,40096,1790,OK
American River College,University of California-Irvine,38.65085,-121.349672,33.648434,-117.841248,706733,24773,OK
American River College,University of California-Los Angeles,38.65085,-121.349672,34.066927,-118.168965,640842,22520,OK
American River College,University of California-Merced,38.65085,-121.349672,37.366237,-120.424944,203565,7704,OK
American River College,University of California-Riverside,38.65085,-121.349672,33.97246,-117.32741,722339,25543,OK
American River College,University of California-San Diego,38.65085,-121.349672,32.877749,-117.235866,854436,29732,OK
American River College,University of California-San Francisco,38.65085,-121.349672,37.763737,-122.458489,160562,6277,OK
American River College,University of California-Santa Barbara,38.65085,-121.349672,34.416297,-119.846426,655093,22960,OK
American River College,University of California-Santa Cruz,38.65085,-121.349672,36.995584,-122.058801,256148,9561,OK
Antelope Valley Community College District,University of California-Berkeley,34.676207,-118.186166,37.871918,-122.260463,568520,20450,OK
Antelope Valley Community College District,University of California-Davis,34.676207,-118.186166,38.539667,-121.749567,605284,21497,OK
Antelope Valley Community College District,University of California-Irvine,34.676207,-118.186166,33.648434,-117.841248,185257,7461,OK
Antelope Valley Community College District,University of California-Los Angeles,34.676207,-118.186166,34.066927,-118.168965,119365,5208,OK
Antelope Valley Community College District,University of California-Merced,34.676207,-118.186166,37.366237,-120.424944,414105,15028,OK
Antelope Valley Community College District,University of California-Riverside,34.676207,-118.186166,33.97246,-117.32741,144043,6522,OK
Antelope Valley Community College District,University of California-San Diego,34.676207,-118.186166,32.877749,-117.235866,297453,10917,OK
Antelope Valley Community College District,University of California-San Francisco,34.676207,-118.186166,37.763737,-122.458489,586111,21011,OK
Antelope Valley Community College District,University of California-Santa Barbara,34.676207,-118.186166,34.416297,-119.846426,189745,7836,OK
Antelope Valley Community College District,University of California-Santa Cruz,34.676207,-118.186166,36.995584,-122.058801,521357,19284,OK
Bakersfield College,University of California-Berkeley,35.339951,-119.035082,37.871918,-122.260463,446318,16066,OK
Bakersfield College,University of California-Davis,35.339951,-119.035082,38.539667,-121.749567,483082,17101,OK
Bakersfield College,University of California-Irvine,35.339951,-119.035082,33.648434,-117.841248,246761,8976,OK
