,Fall 2011,Fall 2011,Fall 2011,Fall 2011,Fall 2011,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2012,Spring 2012,Spring 2012,Spring 2012,Spring 2012,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2012,Summer 2012,Summer 2012,Summer 2012,Summer 2012,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2012,Winter 2012,Winter 2012,Winter 2012,Winter 2012,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Winter 2023
,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable
,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate
Alameda,464,323,262,69.61%,56.47%,465,331,268,71.18%,57.63%,650,473,390,72.77%,60.00%,707,516,407,72.98%,57.57%,686,509,393,74.20%,57.29%,629,494,394,78.54%,62.64%,646,485,397,75.08%,61.46%,747,559,445,74.83%,59.57%,721,537,437,74.48%,60.61%,719,553,448,76.91%,62.31%,472,347,269,73.52%,56.99%,359,238,176,66.30%,49.03%,409,250,208,61.12%,50.86%,540,325,277,60.19%,51.30%,726,531,435,73.14%,59.92%,656,481,378,73.32%,57.62%,598,475,346,79.43%,57.86%,531,345,284,64.97%,53.48%,659,463,375,70.26%,56.90%,648,498,398,76.85%,61.42%,427,382,377,89.46%,88.29%,621,430,346,69.24%,55.72%,319,214,158,67.08%,49.53%,371,247,186,66.58%,50.13%,255,187,158,73.33%,61.96%,252,221,184,87.70%,73.02%,175,151,133,86.29%,76.00%,151,111,106,73.51%,70.20%,200,155,136,77.50%,68.00%,160,126,107,78.75%,66.88%,155,126,110,81.29%,70.97%,187,146,126,78.07%,67.38%,218,186,162,85.32%,74.31%,129,102,91,79.07%,70.54%,97,75,65,77.32%,67.01%,89,69,62,77.53%,69.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Hancock,"1,313","1,033",795,78.67%,60.55%,"1,200","1,002",795,83.50%,66.25%,"1,275","1,061",846,83.22%,66.35%,"1,416","1,179",932,83.26%,65.82%,"1,587","1,288","1,028",81.16%,64.78%,"1,690","1,448","1,136",85.68%,67.22%,"2,111","1,776","1,414",84.13%,66.98%,"2,366","2,018","1,592",85.29%,67.29%,"2,673","2,257","1,625",84.44%,60.79%,"2,183","1,790","1,252",82.00%,57.35%,"2,167","1,688","1,175",77.90%,54.22%,"2,001","1,666","1,155",83.26%,57.72%,"1,348","1,017",777,75.45%,57.64%,"1,279","1,024",810,80.06%,63.33%,"1,421","1,140",949,80.23%,66.78%,"1,583","1,254","1,001",79.22%,63.23%,"1,664","1,411","1,069",84.80%,64.24%,"1,782","1,498","1,201",84.06%,67.40%,"1,761","1,465","1,170",83.19%,66.44%,"2,382","1,969","1,502",82.66%,63.06%,"1,531","1,305","1,228",85.24%,80.21%,"1,636","1,329","1,015",81.23%,62.04%,"1,583","1,229",938,77.64%,59.25%,"1,548","1,273",976,82.24%,63.05%,522,460,385,88.12%,73.75%,498,428,380,85.94%,76.31%,530,466,421,87.92%,79.43%,656,573,502,87.35%,76.52%,608,536,479,88.16%,78.78%,613,543,485,88.58%,79.12%,569,514,471,90.33%,82.78%,631,554,469,87.80%,74.33%,764,657,567,85.99%,74.21%,564,473,385,83.87%,68.26%,527,467,393,88.61%,74.57%,548,482,419,87.96%,76.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American River,"4,260","3,456","2,942",81.13%,69.06%,"3,976","3,223","2,677",81.06%,67.33%,"3,937","3,213","2,591",81.61%,65.81%,"3,907","3,210","2,595",82.16%,66.42%,"4,089","3,394","2,804",83.00%,68.57%,"3,953","3,262","2,675",82.52%,67.67%,"3,704","3,035","2,500",81.94%,67.49%,"4,428","3,778","3,066",85.32%,69.24%,"4,874","4,035","3,302",82.79%,67.75%,"4,430","3,428","2,784",77.38%,62.84%,"3,871","3,112","2,511",80.39%,64.87%,"3,838","3,182","2,576",82.91%,67.12%,"4,355","3,475","2,865",79.79%,65.79%,"4,270","3,452","2,837",80.84%,66.44%,"3,863","3,171","2,557",82.09%,66.19%,"4,015","3,286","2,692",81.84%,67.05%,"3,895","3,218","2,628",82.62%,67.47%,"3,865","3,190","2,601",82.54%,67.30%,"3,554","3,091","2,600",86.97%,73.16%,"4,245","3,555","2,914",83.75%,68.65%,"3,121","2,769","2,610",88.72%,83.63%,"3,442","2,780","2,310",80.77%,67.11%,"3,091","2,458","2,040",79.52%,66.00%,"3,183","2,620","2,115",82.31%,66.45%,830,702,607,84.58%,73.13%,762,644,568,84.51%,74.54%,806,693,602,85.98%,74.69%,824,702,624,85.19%,75.73%,989,856,753,86.55%,76.14%,"1,025",869,766,84.78%,74.73%,"1,155","1,027",907,88.92%,78.53%,"1,129",945,829,83.70%,73.43%,"1,287","1,084",946,84.23%,73.50%,"1,069",905,765,84.66%,71.56%,826,684,590,82.81%,71.43%,843,740,611,87.78%,72.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Valley,"1,829","1,479","1,146",80.86%,62.66%,"1,696","1,458","1,188",85.97%,70.05%,"1,803","1,540","1,246",85.41%,69.11%,"1,950","1,729","1,400",88.67%,71.79%,"1,802","1,603","1,232",88.96%,68.37%,"2,117","1,824","1,429",86.16%,67.50%,"1,779","1,521","1,235",85.50%,69.42%,"2,007","1,751","1,437",87.24%,71.60%,"2,947","2,580","2,023",87.55%,68.65%,"2,723","2,407","1,819",88.40%,66.80%,"2,420","2,108","1,556",87.11%,64.30%,"2,440","2,209","1,628",90.53%,66.72%,"1,930","1,612","1,258",83.52%,65.18%,"1,966","1,647","1,296",83.77%,65.92%,"1,827","1,505","1,154",82.38%,63.16%,"1,747","1,461","1,142",83.63%,65.37%,"2,088","1,776","1,370",85.06%,65.61%,"1,972","1,657","1,272",84.03%,64.50%,"1,603","1,353","1,110",84.40%,69.25%,"2,172","1,844","1,437",84.90%,66.16%,"2,344","2,017","1,591",86.05%,67.88%,"2,042","1,761","1,330",86.24%,65.13%,"1,879","1,640","1,156",87.28%,61.52%,"2,204","1,940","1,426",88.02%,64.70%,206,184,167,89.32%,81.07%,267,234,200,87.64%,74.91%,214,206,185,96.26%,86.45%,302,271,235,89.74%,77.81%,551,499,417,90.56%,75.68%,511,457,393,89.43%,76.91%,526,480,419,91.25%,79.66%,717,645,559,89.96%,77.96%,862,771,655,89.44%,75.99%,792,715,606,90.28%,76.52%,704,644,547,91.48%,77.70%,864,792,628,91.67%,72.69%,,,,,,227,202,189,88.99%,83.26%,286,273,244,95.45%,85.31%,218,199,179,91.28%,82.11%,314,274,246,87.26%,78.34%,360,325,279,90.28%,77.50%,324,303,282,93.52%,87.04%,302,275,250,91.06%,82.78%,319,298,258,93.42%,80.88%,,,,,,,,,,,,,,,
Bakersfield,"1,282","1,018",791,79.41%,61.70%,"1,573","1,243",995,79.02%,63.25%,"1,847","1,536","1,180",83.16%,63.89%,"2,160","1,720","1,325",79.63%,61.34%,"2,502","2,057","1,460",82.21%,58.35%,"3,172","2,728","1,937",86.00%,61.07%,"3,446","3,131","2,309",90.86%,67.01%,"5,200","4,408","2,845",84.77%,54.71%,"6,021","4,850","3,156",80.55%,52.42%,"5,713","4,379","2,731",76.65%,47.80%,"4,760","3,709","2,451",77.92%,51.49%,"5,487","4,294","2,839",78.26%,51.74%,"1,416","1,075",868,75.92%,61.30%,"1,660","1,359","1,063",81.87%,64.04%,"1,810","1,512","1,189",83.54%,65.69%,"2,233","1,816","1,416",81.33%,63.41%,"2,062","1,640","1,217",79.53%,59.02%,"2,277","1,903","1,327",83.57%,58.28%,"2,812","2,427","1,824",86.31%,64.86%,"4,715","3,749","2,795",79.51%,59.28%,"3,548","2,952","2,542",83.20%,71.65%,"3,331","2,570","1,793",77.15%,53.83%,"3,707","2,896","2,102",78.12%,56.70%,"4,317","3,528","2,621",81.72%,60.71%,209,184,153,88.04%,73.21%,416,376,323,90.38%,77.64%,505,450,399,89.11%,79.01%,507,445,373,87.77%,73.57%,524,468,399,89.31%,76.15%,586,557,457,95.05%,77.99%,"1,027",945,792,92.02%,77.12%,"1,009",920,753,91.18%,74.63%,"1,238",998,667,80.61%,53.88%,742,633,469,85.31%,63.21%,751,666,516,88.68%,68.71%,"1,157",955,715,82.54%,61.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barstow,,,,,,455,397,331,87.25%,72.75%,,,,,,,,,,,,,,,,633,557,419,87.99%,66.19%,611,552,451,90.34%,73.81%,652,586,451,89.88%,69.17%,"1,010",905,631,89.60%,62.48%,719,641,467,89.15%,64.95%,694,611,425,88.04%,61.24%,792,686,466,86.62%,58.84%,499,440,351,88.18%,70.34%,,,,,,,,,,,,,,,,598,523,430,87.46%,71.91%,573,530,449,92.50%,78.36%,611,543,426,88.87%,69.72%,771,661,531,85.73%,68.87%,772,700,597,90.67%,77.33%,557,506,389,90.84%,69.84%,567,498,369,87.83%,65.08%,702,620,435,88.32%,61.97%,139,112,83,80.58%,59.71%,,,,,,,,,,,,,,,,126,103,83,81.75%,65.87%,135,118,92,87.41%,68.15%,152,148,97,97.37%,63.82%,196,168,136,85.71%,69.39%,205,171,129,83.41%,62.93%,175,142,110,81.14%,62.86%,213,178,127,83.57%,59.62%,225,186,135,82.67%,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley City,"1,041",789,651,75.79%,62.54%,938,711,585,75.80%,62.37%,"1,650","1,222","1,006",74.06%,60.97%,"1,425","1,104",876,77.47%,61.47%,"1,529","1,224",963,80.05%,62.98%,"1,479","1,169",934,79.04%,63.15%,"1,403","1,071",911,76.34%,64.93%,"1,354","1,105",916,81.61%,67.65%,"1,370","1,108",906,80.88%,66.13%,"1,032",832,712,80.62%,68.99%,910,745,605,81.87%,66.48%,"1,016",804,660,79.13%,64.96%,991,717,617,72.35%,62.26%,"1,294",966,843,74.65%,65.15%,"1,329",993,873,74.72%,65.69%,"1,430","1,127",910,78.81%,63.64%,"1,429","1,129",949,79.01%,66.41%,"1,389","1,090",931,78.47%,67.03%,"1,315",970,789,73.76%,60.00%,"1,403","1,123",968,80.04%,69.00%,926,849,823,91.68%,88.88%,"1,068",860,749,80.52%,70.13%,789,590,467,74.78%,59.19%,973,746,600,76.67%,61.66%,489,398,357,81.39%,73.01%,467,359,312,76.87%,66.81%,388,297,248,76.55%,63.92%,381,302,271,79.27%,71.13%,378,298,252,78.84%,66.67%,356,284,235,79.78%,66.01%,341,297,256,87.10%,75.07%,390,320,287,82.05%,73.59%,359,311,277,86.63%,77.16%,248,219,196,88.31%,79.03%,260,216,177,83.08%,68.08%,261,214,192,81.99%,73.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,"2,104","1,937","1,460",92.06%,69.39%,"2,394","2,203","1,610",92.02%,67.25%,"2,501","2,283","1,683",91.28%,67.29%,"2,463","2,185","1,697",88.71%,68.90%,"2,386","2,150","1,607",90.11%,67.35%,"2,310","2,101","1,713",90.95%,74.16%,"2,362","2,080","1,676",88.06%,70.96%,"2,300","2,103","1,894",91.43%,82.35%,"2,762","2,444","1,880",88.49%,68.07%,"2,225","1,825","1,377",82.02%,61.89%,"2,025","1,708","1,322",84.35%,65.28%,"2,101","1,831","1,466",87.15%,69.78%,"1,845","1,661","1,325",90.03%,71.82%,"2,071","1,863","1,404",89.96%,67.79%,"2,063","1,789","1,326",86.72%,64.28%,"1,958","1,751","1,359",89.43%,69.41%,"1,839","1,643","1,276",89.34%,69.39%,"1,777","1,572","1,270",88.46%,71.47%,"1,756","1,559","1,249",88.78%,71.13%,"1,756","1,515","1,249",86.28%,71.13%,"1,105",999,945,90.41%,85.52%,"1,374","1,158",919,84.28%,66.89%,"1,416","1,163",906,82.13%,63.98%,"1,620","1,362","1,077",84.07%,66.48%,188,180,151,95.74%,80.32%,158,145,125,91.77%,79.11%,209,189,169,90.43%,80.86%,180,171,156,95.00%,86.67%,139,131,122,94.24%,87.77%,125,116,105,92.80%,84.00%,114,110,108,96.49%,94.74%,142,136,123,95.77%,86.62%,168,148,132,88.10%,78.57%,205,151,133,73.66%,64.88%,235,215,175,91.49%,74.47%,242,220,165,90.91%,68.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
