,Fall 2011,Fall 2011,Fall 2011,Fall 2011,Fall 2011,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2012,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2013,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2012,Spring 2012,Spring 2012,Spring 2012,Spring 2012,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2013,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2014,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2012,Summer 2012,Summer 2012,Summer 2012,Summer 2012,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2013,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2012,Winter 2012,Winter 2012,Winter 2012,Winter 2012,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2013,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2014,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2015,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2022,Winter 2023,Winter 2023,Winter 2023,Winter 2023,Winter 2023
,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable,Transferable
,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate
Alameda,563,441,374,78.33%,66.43%,578,470,379,81.31%,65.57%,539,422,307,78.29%,56.96%,474,383,294,80.80%,62.03%,629,498,370,79.17%,58.82%,676,538,401,79.59%,59.32%,554,470,361,84.84%,65.16%,844,715,543,84.72%,64.34%,851,668,542,78.50%,63.69%,555,425,356,76.58%,64.14%,453,341,274,75.28%,60.49%,644,527,431,81.83%,66.93%,583,432,355,74.10%,60.89%,734,590,482,80.38%,65.67%,700,523,391,74.71%,55.86%,525,401,317,76.38%,60.38%,682,534,420,78.30%,61.58%,602,497,407,82.56%,67.61%,674,578,465,85.76%,68.99%,929,762,630,82.02%,67.81%,581,526,512,90.53%,88.12%,675,523,419,77.48%,62.07%,479,375,308,78.29%,64.30%,511,407,314,79.65%,61.45%,406,342,293,84.24%,72.17%,458,404,356,88.21%,77.73%,310,268,222,86.45%,71.61%,323,284,241,87.93%,74.61%,270,241,204,89.26%,75.56%,258,228,206,88.37%,79.84%,322,286,262,88.82%,81.37%,315,276,238,87.62%,75.56%,537,464,434,86.41%,80.82%,239,199,172,83.26%,71.97%,390,317,294,81.28%,75.38%,480,430,397,89.58%,82.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Hancock,965,785,615,81.35%,63.73%,"1,056",833,667,78.88%,63.16%,"1,101",878,691,79.75%,62.76%,"1,188",968,752,81.48%,63.30%,"1,242","1,017",811,81.88%,65.30%,"1,343","1,111",865,82.73%,64.41%,"1,383","1,077",807,77.87%,58.35%,"1,319","1,026",769,77.79%,58.30%,"1,915","1,446","1,043",75.51%,54.46%,"1,614","1,306",998,80.92%,61.83%,"1,350",988,675,73.19%,50.00%,"1,834","1,385",880,75.52%,47.98%,"1,033",824,679,79.77%,65.73%,"1,081",876,691,81.04%,63.92%,"1,145",884,703,77.21%,61.40%,"1,221",968,793,79.28%,64.95%,"1,307","1,109",829,84.85%,63.43%,"1,373","1,113",880,81.06%,64.09%,"1,308","1,054",818,80.58%,62.54%,"1,561","1,168",839,74.82%,53.75%,"1,275","1,132",982,88.78%,77.02%,"1,345","1,107",878,82.30%,65.28%,"1,181",847,605,71.72%,51.23%,"1,645","1,264",900,76.84%,54.71%,282,249,217,88.30%,76.95%,245,199,164,81.22%,66.94%,237,195,167,82.28%,70.46%,281,236,185,83.99%,65.84%,301,243,183,80.73%,60.80%,263,234,201,88.97%,76.43%,276,232,199,84.06%,72.10%,345,297,241,86.09%,69.86%,424,374,322,88.21%,75.94%,290,224,170,77.24%,58.62%,282,217,182,76.95%,64.54%,339,264,202,77.88%,59.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American River,"2,879","2,278","1,826",79.12%,63.42%,"2,683","2,206","1,761",82.22%,65.64%,"2,566","2,055","1,715",80.09%,66.84%,"2,669","2,180","1,817",81.68%,68.08%,"2,549","2,105","1,723",82.58%,67.60%,"2,637","2,159","1,793",81.87%,67.99%,"2,493","1,990","1,666",79.82%,66.83%,"2,926","2,352","1,894",80.38%,64.73%,"3,649","2,852","2,313",78.16%,63.39%,"3,402","2,696","2,288",79.25%,67.25%,"2,917","2,284","1,893",78.30%,64.90%,"4,061","3,310","2,681",81.51%,66.02%,"2,993","2,403","1,989",80.29%,66.46%,"2,694","2,196","1,815",81.51%,67.37%,"2,750","2,319","1,899",84.33%,69.05%,"2,609","2,114","1,696",81.03%,65.01%,"2,801","2,340","1,898",83.54%,67.76%,"2,789","2,343","1,905",84.01%,68.30%,"2,579","2,105","1,698",81.62%,65.84%,"2,890","2,409","1,908",83.36%,66.02%,"2,658","2,404","2,237",90.44%,84.16%,"2,997","2,456","2,103",81.95%,70.17%,"2,920","2,393","1,973",81.95%,67.57%,"3,747","2,987","2,448",79.72%,65.33%,"1,011",873,752,86.35%,74.38%,"1,067",948,810,88.85%,75.91%,"1,106",965,842,87.25%,76.13%,"1,171","1,037",875,88.56%,74.72%,"1,260","1,123",970,89.13%,76.98%,"1,199","1,059",929,88.32%,77.48%,"1,236","1,089",940,88.11%,76.05%,"1,188","1,011",876,85.10%,73.74%,"1,636","1,426","1,289",87.16%,78.79%,"1,438","1,151","1,015",80.04%,70.58%,"1,392","1,190","1,061",85.49%,76.22%,"1,742","1,438","1,261",82.55%,72.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Valley,"1,366","1,117",922,81.77%,67.50%,"1,409","1,178",945,83.61%,67.07%,"1,488","1,218",982,81.85%,65.99%,"1,582","1,237","1,011",78.19%,63.91%,"1,787","1,431","1,158",80.08%,64.80%,"1,839","1,470","1,207",79.93%,65.63%,"1,968","1,579","1,253",80.23%,63.67%,"2,144","1,761","1,431",82.14%,66.74%,"3,331","2,637","2,026",79.17%,60.82%,"2,759","2,309","1,757",83.69%,63.68%,"2,513","2,064","1,506",82.13%,59.93%,"2,530","1,979","1,424",78.22%,56.28%,"1,345","1,082",891,80.45%,66.25%,"1,378","1,148",957,83.31%,69.45%,"1,463","1,212","1,005",82.84%,68.69%,"1,566","1,209",983,77.20%,62.77%,"1,781","1,442","1,151",80.97%,64.63%,"1,972","1,564","1,285",79.31%,65.16%,"2,011","1,649","1,375",82.00%,68.37%,"2,228","1,770","1,381",79.44%,61.98%,"2,722","2,302","1,910",84.57%,70.17%,"2,156","1,785","1,371",82.79%,63.59%,"1,820","1,427","1,066",78.41%,58.57%,"1,999","1,630","1,244",81.54%,62.23%,63,56,51,88.89%,80.95%,209,194,177,92.82%,84.69%,255,218,192,85.49%,75.29%,445,408,344,91.69%,77.30%,516,462,390,89.53%,75.58%,638,586,537,91.85%,84.17%,786,728,640,92.62%,81.42%,851,768,648,90.25%,76.15%,915,833,697,91.04%,76.17%,822,711,597,86.50%,72.63%,748,587,449,78.48%,60.03%,880,747,617,84.89%,70.11%,,,,,,109,106,95,97.25%,87.16%,156,150,141,96.15%,90.38%,181,168,161,92.82%,88.95%,237,226,220,95.36%,92.83%,218,209,202,95.87%,92.66%,230,223,215,96.96%,93.48%,283,266,251,93.99%,88.69%,311,268,227,86.17%,72.99%,,,,,,,,,,,,,,,
Bakersfield,"1,144",891,565,77.88%,49.39%,"1,252","1,011",675,80.75%,53.91%,"1,360","1,097",695,80.66%,51.10%,"1,413","1,133",751,80.18%,53.15%,"1,570","1,264",844,80.51%,53.76%,"1,623","1,323",838,81.52%,51.63%,"1,936","1,630","1,011",84.19%,52.22%,"2,158","1,855","1,285",85.96%,59.55%,"3,945","3,232","2,065",81.93%,52.34%,"3,982","3,143","2,064",78.93%,51.83%,"3,487","2,789","1,785",79.98%,51.19%,"4,019","3,303","2,135",82.18%,53.12%,"1,249",951,675,76.14%,54.04%,"1,342","1,106",758,82.41%,56.48%,"1,395","1,155",822,82.80%,58.92%,"1,522","1,254",818,82.39%,53.75%,"1,695","1,307",905,77.11%,53.39%,"1,864","1,503","1,007",80.63%,54.02%,"2,386","2,021","1,479",84.70%,61.99%,"2,860","2,400","1,778",83.92%,62.17%,"3,086","2,662","2,376",86.26%,76.99%,"3,378","2,788","1,914",82.53%,56.66%,"2,841","2,237","1,573",78.74%,55.37%,"4,099","3,438","2,335",83.87%,56.97%,135,106,78,78.52%,57.78%,272,236,165,86.76%,60.66%,309,255,187,82.52%,60.52%,383,332,246,86.68%,64.23%,495,431,309,87.07%,62.42%,523,426,294,81.45%,56.21%,725,653,550,90.07%,75.86%,"1,430","1,271",957,88.88%,66.92%,"1,699","1,423","1,080",83.76%,63.57%,"1,159","1,014",761,87.49%,65.66%,"1,204","1,064",818,88.37%,67.94%,"1,137","1,001",812,88.04%,71.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barstow,,,,,,144,131,124,90.97%,86.11%,,,,,,,,,,,,,,,,303,272,226,89.77%,74.59%,333,291,237,87.39%,71.17%,393,351,288,89.31%,73.28%,782,690,474,88.24%,60.61%,565,498,433,88.14%,76.64%,500,447,357,89.40%,71.40%,645,544,444,84.34%,68.84%,229,188,167,82.10%,72.93%,,,,,,,,,,,,,,,,417,373,324,89.45%,77.70%,420,384,345,91.43%,82.14%,438,406,353,92.69%,80.59%,22,19,13,86.36%,59.09%,575,520,458,90.43%,79.65%,368,315,261,85.60%,70.92%,408,361,285,88.48%,69.85%,592,541,417,91.39%,70.44%,,,,,,,,,,,,,,,,,,,,,121,102,86,84.30%,71.07%,130,115,93,88.46%,71.54%,138,132,114,95.65%,82.61%,,,,,,201,166,145,82.59%,72.14%,124,95,79,76.61%,63.71%,271,241,207,88.93%,76.38%,253,222,182,87.75%,71.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley City,963,598,503,62.10%,52.23%,"1,049",697,553,66.44%,52.72%,"1,057",748,613,70.77%,57.99%,"1,121",799,634,71.28%,56.56%,"1,347",983,761,72.98%,56.50%,"1,301",922,729,70.87%,56.03%,"1,296",966,773,74.54%,59.65%,"1,264",905,733,71.60%,57.99%,"1,601","1,152",921,71.96%,57.53%,"1,367","1,120",956,81.93%,69.93%,"1,003",853,702,85.04%,69.99%,"1,061",808,651,76.15%,61.36%,987,675,562,68.39%,56.94%,"1,086",754,647,69.43%,59.58%,"1,268",912,781,71.92%,61.59%,"1,320",994,816,75.30%,61.82%,"1,363","1,034",822,75.86%,60.31%,"1,397","1,065",851,76.23%,60.92%,"1,402","1,041",803,74.25%,57.28%,"1,336",982,784,73.50%,58.68%,"1,024",955,918,93.26%,89.65%,"1,035",866,745,83.67%,71.98%,786,622,520,79.13%,66.16%,"1,083",864,718,79.78%,66.30%,401,301,225,75.06%,56.11%,313,234,185,74.76%,59.11%,370,257,210,69.46%,56.76%,424,321,251,75.71%,59.20%,299,238,189,79.60%,63.21%,327,284,202,86.85%,61.77%,319,303,243,94.98%,76.18%,461,405,345,87.85%,74.84%,430,390,351,90.70%,81.63%,229,210,195,91.70%,85.15%,225,195,172,86.67%,76.44%,249,217,190,87.15%,76.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,"1,470","1,323","1,016",90.00%,69.12%,"1,502","1,366",999,90.95%,66.51%,"1,617","1,487","1,138",91.96%,70.38%,"1,782","1,612","1,236",90.46%,69.36%,"1,726","1,579","1,215",91.48%,70.39%,"1,712","1,538","1,193",89.84%,69.68%,"1,926","1,709","1,269",88.73%,65.89%,"2,021","1,793","1,440",88.72%,71.25%,"2,749","2,362","1,693",85.92%,61.59%,"2,246","1,763","1,316",78.50%,58.59%,"1,964","1,606","1,181",81.77%,60.13%,"2,062","1,745","1,301",84.63%,63.09%,"1,460","1,339","1,059",91.71%,72.53%,"1,524","1,421","1,118",93.24%,73.36%,"1,708","1,559","1,193",91.28%,69.85%,"1,727","1,565","1,248",90.62%,72.26%,"1,661","1,517","1,154",91.33%,69.48%,"1,697","1,536","1,155",90.51%,68.06%,"1,853","1,660","1,224",89.58%,66.06%,"1,994","1,749","1,319",87.71%,66.15%,"1,461","1,296","1,230",88.71%,84.19%,"1,543","1,221",957,79.13%,62.02%,"1,514","1,230",951,81.24%,62.81%,"1,635","1,390","1,055",85.02%,64.53%,243,228,196,93.83%,80.66%,234,225,196,96.15%,83.76%,315,287,243,91.11%,77.14%,292,273,225,93.49%,77.05%,318,304,251,95.60%,78.93%,267,241,200,90.26%,74.91%,266,243,181,91.35%,68.05%,299,276,224,92.31%,74.92%,259,230,195,88.80%,75.29%,394,275,235,69.80%,59.64%,284,246,206,86.62%,72.54%,273,233,206,85.35%,75.46%,,,,,,,,,,,,,,,,45,43,38,95.56%,84.44%,37,37,33,100.00%,89.19%,36,36,34,100.00%,94.44%,28,24,13,85.71%,46.43%,44,41,38,93.18%,86.36%,37,34,25,91.89%,67.57%,59,39,36,66.10%,61.02%,34,32,28,94.12%,82.35%,27,27,24,100.00%,88.89%
