Year,UC,Field,Major,Enrolls,CC
2012-13,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,ALLAN HANCOCK COLLEGE
2012-13,UCSC,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,PSYCHOLOGY,"Psychology, General",6,ALLAN HANCOCK COLLEGE
2012-13,UCSC,PSYCHOLOGY,"Psychology, General",3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,SOCIAL SCIENCES,Economics,3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,SOCIAL SCIENCES,Sociology,4,ALLAN HANCOCK COLLEGE
2013-14,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2013-14,UCSD,ENGINEERING,Biomedical/Medical Engineering,3,ALLAN HANCOCK COLLEGE
2013-14,UCSB,PSYCHOLOGY,"Psychology, General",4,ALLAN HANCOCK COLLEGE
2013-14,UCSB,SOCIAL SCIENCES,Sociology,4,ALLAN HANCOCK COLLEGE
2013-14,UCSB,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,ALLAN HANCOCK COLLEGE
2014-15,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,ALLAN HANCOCK COLLEGE
2014-15,UCSB,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,ALLAN HANCOCK COLLEGE
2014-15,UCSB,PSYCHOLOGY,"Psychology, General",4,ALLAN HANCOCK COLLEGE
2014-15,UCSD,SOCIAL SCIENCES,Economics,3,ALLAN HANCOCK COLLEGE
2015-16,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2015-16,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,ALLAN HANCOCK COLLEGE
2015-16,UCB,PSYCHOLOGY,"Psychology, General",3,ALLAN HANCOCK COLLEGE
2015-16,UCSB,PSYCHOLOGY,Research and Experimental Psychology,7,ALLAN HANCOCK COLLEGE
2015-16,UCSB,SOCIAL SCIENCES,Political Science and Government,3,ALLAN HANCOCK COLLEGE
2015-16,UCSB,SOCIAL SCIENCES,Sociology,3,ALLAN HANCOCK COLLEGE
2016-17,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2016-17,UCSB,PSYCHOLOGY,Research and Experimental Psychology,8,ALLAN HANCOCK COLLEGE
2016-17,UCSB,SOCIAL SCIENCES,Sociology,5,ALLAN HANCOCK COLLEGE
2017-18,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2017-18,UCSB,PSYCHOLOGY,Research and Experimental Psychology,3,ALLAN HANCOCK COLLEGE
2017-18,UCD,SOCIAL SCIENCES,Political Science and Government,3,ALLAN HANCOCK COLLEGE
2017-18,UCSB,SOCIAL SCIENCES,Sociology,3,ALLAN HANCOCK COLLEGE
2018-19,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,ALLAN HANCOCK COLLEGE
2018-19,UCSB,SOCIAL SCIENCES,Economics,4,ALLAN HANCOCK COLLEGE
2018-19,UCSB,SOCIAL SCIENCES,Sociology,8,ALLAN HANCOCK COLLEGE
2019-20,UCSB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,ALLAN HANCOCK COLLEGE
2019-20,UCSC,MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",3,ALLAN HANCOCK COLLEGE
2019-20,UCSB,SOCIAL SCIENCES,Economics,4,ALLAN HANCOCK COLLEGE
2019-20,UCSB,SOCIAL SCIENCES,Sociology,7,ALLAN HANCOCK COLLEGE
2020-21,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,ALLAN HANCOCK COLLEGE
2020-21,UCSB,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Romance Languages, Literatures, and Linguistics",3,ALLAN HANCOCK COLLEGE
