year,school.name,ope6_id,aid.ftft_pell_grant_rate,aid.ftft_federal_loan_rate,aid.pell_grant_rate,aid.federal_loan_rate,aid.loan_principal,aid.median_debt.pell_grant,aid.median_debt.no_pell_grant,aid.median_debt.first_generation_students,aid.median_debt.non_first_generation_students,student.demographics.race_ethnicity.white,student.demographics.race_ethnicity.black,student.demographics.race_ethnicity.hispanic,student.demographics.race_ethnicity.asian,student.demographics.race_ethnicity.aian,student.demographics.race_ethnicity.nhpi,student.demographics.race_ethnicity.two_or_more,student.demographics.race_ethnicity.non_resident_alien,student.demographics.race_ethnicity.unknown,student.demographics.men,student.demographics.women,student.demographics.student_faculty_ratio,student.demographics.faculty.race_ethnicity.two_or_more,student.demographics.faculty.race_ethnicity.aian,student.demographics.faculty.race_ethnicity.asian,student.demographics.faculty.race_ethnicity.black,student.demographics.faculty.race_ethnicity.hispanic,student.demographics.faculty.race_ethnicity.nhpi,student.demographics.faculty.race_ethnicity.non_resident_alien,student.demographics.faculty.race_ethnicity.unknown,student.demographics.faculty.race_ethnicity.white,student.demographics.faculty.men,student.demographics.faculty.women,student.enrollment.undergrad_12_month,cost.avg_net_price.public,cost.net_price.public.by_income_level.0-30000,cost.net_price.public.by_income_level.30001-48000,cost.net_price.public.by_income_level.48001-75000,cost.net_price.public.by_income_level.75001-110000,cost.net_price.public.by_income_level.110001-plus,cost.title_iv.public.by_income_level.0-30000,cost.title_iv.public.by_income_level.30001-48000,cost.title_iv.public.by_income_level.48001-75000,cost.title_iv.public.by_income_level.75001-110000,cost.title_iv.public.by_income_level.110001-plus,cost.attendance.academic_year,cost.tuition.in_state,cost.tuition.out_of_state,cost.booksupply,cost.roomboard.oncampus,cost.otherexpense.oncampus,cost.roomboard.offcampus,cost.otherexpense.offcampus,cost.otherexpense.withfamily,admissions.admission_rate.overall,aid.median_debt.income.0_30000,aid.median_debt.income.30001_75000,aid.median_debt.income.greater_than_75000
2012,University of California-Berkeley,001312,0.2441,0.2897,0.333,0.3181,13117.0,13008.0,13600.0,13000.0,13387.0,0.2977,0.0244,0.1288,0.3608,0.0026,0.0029,0.037,0.1066,0.0392,0.4765,0.5235,17.0,,,,,,,,,,,,28774.0,14015.0,8024.0,9835.0,14366.0,21223.0,29137.0,520.0,262.0,232.0,126.0,213.0,32445.0,12874.0,35752.0,1213.0,15304.0,3497.0,10281.0,4121.0,9682.0,0.2161,12051.5,13215.5,15000.0
2012,University of California-Davis,001313,0.421,0.4902,0.4268,0.4616,12300.0,12849.0,11000.0,12833.0,11815.5,0.324,0.0226,0.1639,0.3708,0.003,0.0047,0.0417,0.0426,0.0266,0.4476,0.5524,17.0,,,,,,,,,,,,27171.0,13932.0,9374.0,10575.0,13932.0,20829.0,27381.0,1062.0,535.0,466.0,315.0,332.0,30771.0,13877.0,36755.0,1602.0,13503.0,3186.0,8247.0,4162.0,9280.0,0.4826,11667.0,13000.0,12081.0
2012,University of California-Irvine,001314,0.4487,0.5092,0.4001,0.4443,14500.0,13666.0,15000.0,13396.0,14999.5,0.1854,0.0204,0.1971,0.4715,0.0017,0.0033,0.0376,0.0589,0.024,0.4575,0.5425,19.0,,,,,,,,,,,,23765.0,13358.0,8456.0,10124.0,14044.0,21531.0,26875.0,1251.0,652.0,593.0,363.0,360.0,28781.0,13122.0,36000.0,1567.0,11706.0,3633.0,9635.0,4605.0,8824.0,0.4746,12499.5,14544.0,15439.0
2012,University of California-Los Angeles,001315,0.3152,0.3854,0.3617,0.3868,13300.0,13740.0,12500.0,13300.0,13306.0,0.2968,0.0287,0.1752,0.3235,0.0018,0.0034,0.0413,0.1036,0.0256,0.4516,0.5484,16.0,,,,,,,,,,,,29421.0,14437.0,8227.0,9977.0,13639.0,21375.0,27910.0,957.0,491.0,455.0,341.0,455.0,31216.0,12692.0,35570.0,1521.0,14232.0,3487.0,10336.0,4375.0,9218.0,0.2711,12050.0,14148.0,14950.0
2012,University of California-Riverside,001316,0.5907,0.5775,0.5678,0.5662,15000.0,15000.0,15000.0,14986.0,15147.0,0.1516,0.0574,0.3481,0.3658,0.002,0.0043,0.0279,0.0235,0.0194,0.4823,0.5177,19.0,,,,,,,,,,,,19795.0,11429.0,8164.0,8961.0,11395.0,18965.0,26309.0,1119.0,615.0,518.0,266.0,214.0,28809.0,12960.0,35838.0,1784.0,13240.0,3613.0,8890.0,4287.0,8621.0,0.6816,14000.0,15458.0,16500.0
2012,University of California-San Diego,001317,0.4585,0.5343,0.4608,0.5093,15855.0,16900.0,14463.5,16515.0,15264.0,0.2409,0.0121,0.1574,0.4246,0.0019,0.0041,0.041,0.087,0.031,0.5061,0.4939,19.0,,,,,,,,,,,,24835.0,12918.0,9040.0,10488.0,14077.0,20116.0,26764.0,931.0,392.0,332.0,192.0,202.0,29194.0,13217.0,36095.0,1474.0,11923.0,3414.0,9764.0,4517.0,9056.0,0.3535,16334.0,16500.0,15000.0
2012,University of California-San Francisco,001319,,,,,5500.0,,,5500.0,5625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,
2012,University of California-Santa Barbara,001320,0.3893,0.4905,0.3718,0.452,14222.0,14323.5,14000.0,14500.0,14000.0,0.4203,0.022,0.2424,0.1712,0.0015,0.0009,0.0756,0.0291,0.0369,0.4719,0.5281,17.0,,,,,,,,,,,,20236.0,14042.0,8604.0,9406.0,13430.0,22065.0,29798.0,890.0,415.0,425.0,243.0,322.0,31603.0,13671.0,36549.0,1428.0,13275.0,3693.0,9907.0,4147.0,9294.0,0.4631,13466.0,14350.0,15000.0
2012,University of California-Santa Cruz,001321,0.4218,0.5941,0.4074,0.5449,15000.0,15533.0,15000.0,15489.0,15000.0,0.3949,0.0194,0.2753,0.2065,0.0032,0.0019,0.059,0.0029,0.0369,0.4689,0.5311,18.0,,,,,,,,,,,,16977.0,16871.0,10720.0,12205.0,16135.0,23766.0,31217.0,824.0,454.0,436.0,292.0,383.0,32914.0,13416.0,36294.0,1406.0,14861.0,3612.0,10241.0,4400.0,9463.0,0.6729,15008.0,15485.5,15000.0
2012,University of California-Merced,041271,0.589,0.6321,0.5822,0.5871,11600.0,11000.0,12700.0,11000.0,12250.0,0.1734,0.0657,0.3979,0.2802,0.0029,0.0066,0.0394,0.0151,0.0186,0.5017,0.4983,21.0,,,,,,,,,,,,5136.0,12965.0,8625.0,9405.0,13407.0,20263.0,27502.0,492.0,220.0,197.0,155.0,117.0,30278.0,13070.0,35948.0,1398.0,14272.0,3872.0,7109.0,4629.0,9283.0,0.7996,9972.0,12000.0,14733.0
2013,University of California-Berkeley,001312,0.2682,0.2898,0.3237,0.3021,13000.0,13000.0,13205.5,12913.0,13209.0,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0304,0.4813,0.5187,17.0,0.0055,0.001,0.1217,0.0221,0.0446,0.0013,0.2168,0.0827,0.5042,0.3659,0.6341,28662.0,13769.0,8506.0,9752.0,13944.0,21066.0,28596.0,580.0,252.0,239.0,153.0,196.0,32715.0,12864.0,35742.0,1226.0,15482.0,3747.0,10391.0,4378.0,10001.0,0.18,11731.0,13500.0,14801.0
