cc_name,uc_campus,year,total_major_enrolls
ALAMEDA,Berkeley,2014,7
ALAMEDA,Berkeley,2017,5
ALAMEDA,Berkeley,2018,6
ALAMEDA,Berkeley,2019,4
ALAMEDA,Berkeley,2020,12
ALAMEDA,Berkeley,2021,3
ALAMEDA,Berkeley,2023,3
ALAMEDA,Berkeley,2024,4
ALAMEDA,Davis,2013,10
ALAMEDA,Davis,2014,16
ALAMEDA,Davis,2015,11
ALAMEDA,Davis,2016,18
ALAMEDA,Davis,2017,17
ALAMEDA,Davis,2018,22
ALAMEDA,Davis,2019,7
ALAMEDA,Davis,2020,22
ALAMEDA,Davis,2021,9
ALAMEDA,Davis,2022,6
ALAMEDA,Davis,2023,10
ALAMEDA,Irvine,2019,4
ALAMEDA,Irvine,2022,3
ALAMEDA,Irvine,2023,3
ALAMEDA,San Diego,2021,3
ALAMEDA,San Diego,2022,5
ALAMEDA,San Diego,2023,8
ALAMEDA,San Diego,2024,8
ALAMEDA,Santa Barbara,2023,4
ALAMEDA,Santa Cruz,2022,3
ALLAN HANCOCK,Berkeley,2016,3
ALLAN HANCOCK,Berkeley,2024,4
ALLAN HANCOCK,Davis,2018,3
ALLAN HANCOCK,Los Angeles,2021,3
ALLAN HANCOCK,Los Angeles,2024,3
ALLAN HANCOCK,Riverside,2023,3
ALLAN HANCOCK,San Diego,2014,3
ALLAN HANCOCK,San Diego,2015,3
ALLAN HANCOCK,Santa Barbara,2013,22
ALLAN HANCOCK,Santa Barbara,2014,16
ALLAN HANCOCK,Santa Barbara,2015,10
ALLAN HANCOCK,Santa Barbara,2016,21
ALLAN HANCOCK,Santa Barbara,2017,17
ALLAN HANCOCK,Santa Barbara,2018,10
ALLAN HANCOCK,Santa Barbara,2019,19
ALLAN HANCOCK,Santa Barbara,2020,15
ALLAN HANCOCK,Santa Barbara,2021,20
ALLAN HANCOCK,Santa Barbara,2022,12
ALLAN HANCOCK,Santa Barbara,2024,9
ALLAN HANCOCK,Santa Cruz,2013,6
ALLAN HANCOCK,Santa Cruz,2020,3
ALLAN HANCOCK,Santa Cruz,2022,3
AMERICAN RIVER,Berkeley,2013,11
AMERICAN RIVER,Berkeley,2015,15
AMERICAN RIVER,Berkeley,2016,3
AMERICAN RIVER,Berkeley,2017,6
AMERICAN RIVER,Berkeley,2018,3
AMERICAN RIVER,Berkeley,2019,3
AMERICAN RIVER,Berkeley,2020,3
AMERICAN RIVER,Berkeley,2021,7
AMERICAN RIVER,Berkeley,2022,9
AMERICAN RIVER,Berkeley,2023,3
AMERICAN RIVER,Berkeley,2024,3
AMERICAN RIVER,Davis,2013,95
AMERICAN RIVER,Davis,2014,126
AMERICAN RIVER,Davis,2015,116
AMERICAN RIVER,Davis,2016,129
AMERICAN RIVER,Davis,2017,147
AMERICAN RIVER,Davis,2018,128
AMERICAN RIVER,Davis,2019,94
AMERICAN RIVER,Davis,2020,85
AMERICAN RIVER,Davis,2021,122
AMERICAN RIVER,Davis,2022,77
AMERICAN RIVER,Davis,2023,71
AMERICAN RIVER,Davis,2024,85
AMERICAN RIVER,Irvine,2013,3
AMERICAN RIVER,Irvine,2015,3
AMERICAN RIVER,Irvine,2018,3
AMERICAN RIVER,Los Angeles,2013,4
