cc_name,year,cc_perm_resident_count
ALAMEDA,2004,1124.0
ALAMEDA,2005,1075.0
ALAMEDA,2006,1137.0
ALAMEDA,2007,1244.0
ALAMEDA,2008,1089.0
ALAMEDA,2009,1139.0
ALAMEDA,2010,980.0
ALAMEDA,2011,999.0
ALAMEDA,2012,926.0
ALAMEDA,2013,858.0
ALAMEDA,2014,313.0
ALAMEDA,2015,173.0
ALAMEDA,2016,141.0
ALAMEDA,2017,270.0
ALAMEDA,2018,449.0
ALAMEDA,2019,801.0
ALAMEDA,2020,743.0
ALAMEDA,2021,633.0
ALAMEDA,2022,594.0
ALAMEDA,2023,592.0
ALAMEDA,2024,575.0
ALLAN HANCOCK,2004,609.0
ALLAN HANCOCK,2005,744.0
ALLAN HANCOCK,2006,1054.0
ALLAN HANCOCK,2007,860.0
ALLAN HANCOCK,2008,1423.0
ALLAN HANCOCK,2009,1269.0
ALLAN HANCOCK,2010,1150.0
ALLAN HANCOCK,2011,996.0
ALLAN HANCOCK,2012,1002.0
ALLAN HANCOCK,2013,989.0
ALLAN HANCOCK,2014,991.0
ALLAN HANCOCK,2015,909.0
ALLAN HANCOCK,2016,845.0
ALLAN HANCOCK,2017,860.0
ALLAN HANCOCK,2018,767.0
ALLAN HANCOCK,2019,665.0
ALLAN HANCOCK,2020,523.0
ALLAN HANCOCK,2021,618.0
ALLAN HANCOCK,2022,498.0
ALLAN HANCOCK,2023,430.0
ALLAN HANCOCK,2024,358.0
AMERICAN RIVER,2004,260.0
AMERICAN RIVER,2005,295.0
AMERICAN RIVER,2006,375.0
AMERICAN RIVER,2007,421.0
AMERICAN RIVER,2008,3356.0
AMERICAN RIVER,2009,3522.0
AMERICAN RIVER,2010,3418.0
AMERICAN RIVER,2011,3140.0
AMERICAN RIVER,2012,3136.0
AMERICAN RIVER,2013,2900.0
AMERICAN RIVER,2014,2738.0
AMERICAN RIVER,2015,2799.0
AMERICAN RIVER,2016,2703.0
AMERICAN RIVER,2017,2717.0
AMERICAN RIVER,2018,2804.0
AMERICAN RIVER,2019,2904.0
AMERICAN RIVER,2020,2717.0
AMERICAN RIVER,2021,2497.0
AMERICAN RIVER,2022,2188.0
AMERICAN RIVER,2023,2092.0
AMERICAN RIVER,2024,2091.0
ANTELOPE VALLEY,2004,77.0
ANTELOPE VALLEY,2005,123.0
ANTELOPE VALLEY,2006,171.0
ANTELOPE VALLEY,2007,210.0
ANTELOPE VALLEY,2008,758.0
ANTELOPE VALLEY,2009,736.0
ANTELOPE VALLEY,2010,675.0
ANTELOPE VALLEY,2011,579.0
ANTELOPE VALLEY,2012,521.0
ANTELOPE VALLEY,2013,543.0
ANTELOPE VALLEY,2014,547.0
ANTELOPE VALLEY,2015,533.0
ANTELOPE VALLEY,2016,508.0
ANTELOPE VALLEY,2017,488.0
ANTELOPE VALLEY,2018,483.0
ANTELOPE VALLEY,2019,475.0
ANTELOPE VALLEY,2020,328.0
ANTELOPE VALLEY,2021,306.0
ANTELOPE VALLEY,2022,295.0
ANTELOPE VALLEY,2023,286.0
ANTELOPE VALLEY,2024,295.0
BAKERSFIELD,2004,214.0
BAKERSFIELD,2005,244.0
BAKERSFIELD,2006,291.0
BAKERSFIELD,2007,352.0
BAKERSFIELD,2008,1281.0
BAKERSFIELD,2009,1196.0
BAKERSFIELD,2010,1143.0
BAKERSFIELD,2011,954.0
BAKERSFIELD,2012,901.0
BAKERSFIELD,2013,867.0
BAKERSFIELD,2014,853.0
BAKERSFIELD,2015,882.0
BAKERSFIELD,2016,881.0
BAKERSFIELD,2017,829.0
BAKERSFIELD,2018,882.0
BAKERSFIELD,2019,927.0
BAKERSFIELD,2020,810.0
BAKERSFIELD,2021,627.0
BAKERSFIELD,2022,592.0
BAKERSFIELD,2023,570.0
BAKERSFIELD,2024,532.0
BARSTOW,2006,9.0
BARSTOW,2007,11.0
BARSTOW,2008,134.0
BARSTOW,2009,131.0
BARSTOW,2010,83.0
BARSTOW,2011,67.0
BARSTOW,2012,115.0
BARSTOW,2013,93.0
BARSTOW,2014,108.0
BARSTOW,2015,88.0
BARSTOW,2016,95.0
BARSTOW,2017,78.0
BARSTOW,2018,77.0
BARSTOW,2019,82.0
BARSTOW,2020,82.0
BARSTOW,2021,72.0
BARSTOW,2022,86.0
BARSTOW,2023,93.0
BARSTOW,2024,72.0
BERKELEY CITY,2004,55.0
BERKELEY CITY,2005,67.0
BERKELEY CITY,2006,66.0
BERKELEY CITY,2007,88.0
BERKELEY CITY,2008,572.0
BERKELEY CITY,2009,653.0
BERKELEY CITY,2010,644.0
BERKELEY CITY,2011,593.0
BERKELEY CITY,2012,495.0
BERKELEY CITY,2013,550.0
BERKELEY CITY,2014,264.0
BERKELEY CITY,2015,167.0
BERKELEY CITY,2016,144.0
BERKELEY CITY,2017,242.0
BERKELEY CITY,2018,314.0
BERKELEY CITY,2019,505.0
BERKELEY CITY,2020,534.0
BERKELEY CITY,2021,479.0
BERKELEY CITY,2022,454.0
BERKELEY CITY,2023,435.0
BERKELEY CITY,2024,372.0
BUTTE,2004,15807.0
BUTTE,2005,15712.0
BUTTE,2006,15209.0
BUTTE,2007,14716.0
BUTTE,2008,361.0
BUTTE,2009,353.0
BUTTE,2010,319.0
BUTTE,2011,352.0
BUTTE,2012,225.0
BUTTE,2013,200.0
BUTTE,2014,208.0
BUTTE,2015,228.0
BUTTE,2016,230.0
BUTTE,2017,220.0
BUTTE,2018,214.0
BUTTE,2019,233.0
BUTTE,2020,149.0
BUTTE,2021,146.0
BUTTE,2022,121.0
BUTTE,2023,120.0
BUTTE,2024,126.0
CABRILLO,2004,68.0
CABRILLO,2005,93.0
CABRILLO,2006,74.0
CABRILLO,2007,97.0
CABRILLO,2008,12.0
CABRILLO,2009,9.0
CABRILLO,2010,2.0
CABRILLO,2011,4.0
CABRILLO,2012,4.0
CABRILLO,2013,4.0
CABRILLO,2014,4.0
CABRILLO,2015,7.0
CABRILLO,2016,4.0
CABRILLO,2017,7.0
CABRILLO,2018,580.0
CABRILLO,2019,519.0
CABRILLO,2020,407.0
CABRILLO,2021,387.0
CABRILLO,2022,352.0
CABRILLO,2023,374.0
CABRILLO,2024,372.0
CANADA,2004,75.0
CANADA,2005,90.0
CANADA,2006,90.0
CANADA,2007,144.0
CANADA,2008,1006.0
CANADA,2009,900.0
CANADA,2010,667.0
CANADA,2011,704.0
CANADA,2012,637.0
