year,uc_admit_rate_overall,uc_ftft_pell_rate,uc_ftft_fedloan_rate,uc_pell_rate,uc_fedloan_rate,uc_ug_enroll_12m,uc_coa_ay,uc_campus
2012,0.2161,0.2441,0.2897,0.333,0.3181,28774.0,32445.0,Berkeley
2013,0.18,0.2682,0.2898,0.3237,0.3021,28662.0,32715.0,Berkeley
2014,0.1602,0.241,0.2459,0.3143,0.2698,28919.0,33020.0,Berkeley
2015,0.1688,0.2622,0.2683,0.3114,0.2602,29326.0,33989.0,Berkeley
2016,0.1693,0.2299,0.2408,0.3031,0.26,29591.0,34924.0,Berkeley
2017,0.1711,0.1941,0.2041,0.2774,0.2372,31133.0,35767.0,Berkeley
2018,0.1484,0.195,0.2032,0.2676,0.218,32309.0,36739.0,Berkeley
2019,0.1625,0.2283,0.2264,0.2668,0.2176,32700.0,37852.0,Berkeley
2020,0.1748,0.2077,0.2026,0.2594,0.2032,33208.0,39016.0,Berkeley
2021,0.1444,0.2549,0.1454,0.272,0.1481,33060.0,37510.0,Berkeley
2022,0.1133,0.2272,0.2059,0.2706,0.1632,33715.0,41130.0,Berkeley
2023,0.1166,0.2445,0.1985,0.2733,0.1823,34306.0,42708.0,Berkeley
2012,0.4826,0.421,0.4902,0.4268,0.4616,27171.0,30771.0,Davis
2013,0.4521,0.3674,0.443,0.4297,0.4467,27829.0,31803.0,Davis
2014,0.4037,0.3741,0.4067,0.4284,0.4191,28499.0,32638.0,Davis
2015,0.3795,0.3767,0.4095,0.4123,0.3933,29568.0,33265.0,Davis
2016,0.4228,0.3388,0.3835,0.3983,0.3683,30215.0,33904.0,Davis
2017,0.4336,0.3332,0.3712,0.3852,0.3601,31437.0,34428.0,Davis
2018,0.4107,0.325,0.3222,0.3822,0.3359,32197.0,35252.0,Davis
2019,0.3887,0.3189,0.2965,0.3666,0.3027,32863.0,34752.0,Davis
2020,0.4635,0.3255,0.3199,0.3567,0.2904,33181.0,35532.0,Davis
2021,0.4875,0.2953,0.225,0.3429,0.2368,33396.0,33396.0,Davis
2022,0.3734,0.2671,0.2326,0.328,0.2245,33978.0,36975.0,Davis
2023,0.4163,0.2519,0.2206,0.3078,0.2322,33442.0,38067.0,Davis
2012,0.4746,0.4487,0.5092,0.4001,0.4443,23765.0,28781.0,Irvine
2013,0.4239,0.4821,0.4551,0.432,0.4418,23882.0,28980.0,Irvine
2014,0.3742,0.4658,0.4582,0.4536,0.4349,25001.0,29759.0,Irvine
2015,0.3868,0.4263,0.4316,0.4602,0.4231,26027.0,30796.0,Irvine
2016,0.4065,0.4085,0.402,0.4469,0.3999,26991.0,31198.0,Irvine
2017,0.3651,0.3777,0.3468,0.4234,0.364,28947.0,31976.0,Irvine
2018,0.2876,0.3771,0.3687,0.4212,0.3464,30865.0,32985.0,Irvine
2019,0.2654,0.3354,0.3217,0.3999,0.3202,31386.0,33325.0,Irvine
2020,0.2992,0.3811,0.2592,0.3866,0.2795,32111.0,34355.0,Irvine
2021,0.2882,0.3939,0.1836,0.3837,0.2004,31372.0,30173.0,Irvine
2022,0.2115,0.3587,0.2194,0.3787,0.2105,31082.0,34731.0,Irvine
2023,0.2557,0.3531,0.2373,0.3729,0.2181,30132.0,36121.0,Irvine
2012,0.2711,0.3152,0.3854,0.3617,0.3868,29421.0,31216.0,Los Angeles
2013,0.2199,0.3076,0.3409,0.3624,0.374,30180.0,31474.0,Los Angeles
2014,0.1856,0.3151,0.3506,0.3588,0.3626,30815.0,32074.0,Los Angeles
2015,0.1728,0.2997,0.3284,0.3524,0.3501,31797.0,32594.0,Los Angeles
2016,0.1799,0.2975,0.3232,0.3457,0.3429,31906.0,33078.0,Los Angeles
