year,college,math_retention_rate,math_success_rate,english_retention_rate,english_success_rate,eops_headcount,eops_care_headcount,aid_ftft_pell_grant_rate,aid_ftft_federal_loan_rate,aid_pell_grant_rate,aid_federal_loan_rate,aid_loan_principal,aid_median_debt_first_generation_students,aid_median_debt_non_first_generation_students,student_demographics_student_faculty_ratio,cost_avg_net_price_public,cost_net_price_public_by_income_level_0_30000,cost_net_price_public_by_income_level_30001_48000,cost_net_price_public_by_income_level_48001_75000,cost_net_price_public_by_income_level_75001_110000,cost_title_iv_public_by_income_level_0_30000,cost_title_iv_public_by_income_level_30001_48000,cost_title_iv_public_by_income_level_48001_75000,cost_attendance_academic_year,cost_tuition_in_state,cost_tuition_out_of_state,cost_booksupply,cost_roomboard_offcampus,cost_otherexpense_offcampus,cost_otherexpense_withfamily,completion_title_iv_transf_completed_4yr_by_4yrs,aid_median_debt_income_0_30000,percent_stem,percent_social_science
2018,Alameda,0.8218135700697526,0.6823081800887761,0.8502317841435874,0.7140140259122786,1200.0,84.0,0.4874,0.0307,0.2148,0.03,9000.0,9179.0,8191.0,27.0,4796.0,4282.0,4534.0,7358.0,9433.0,430.0,106.0,78.0,11961.0,1104.0,8712.0,1854.0,13293.0,4239.0,4509.0,0.046640141468,9441.0,0.0675,0.27260000000000006
2019,Alameda,0.872322899505766,0.6968698517298187,0.8649398704902868,0.7095282146160962,376.0,22.0,0.3846,0.0,0.1294,0.0,5140.0,7083.050980392158,6950.635294117647,24.0,7684.0,7234.0,6677.0,11630.0,12710.0,52.0,17.0,9.0,14278.0,1290.0,7702.0,1971.0,14189.0,4690.0,4690.0,0.050610820244,5140.0,0.1257,0.19840000000000002
2012,Alameda,0.8149882903981265,0.6627634660421545,0.8342059336823735,0.6369982547993019,107.0,28.0,0.7469,0.1111,0.5713,0.1085,6000.0,5000.0,6500.0,16.0,7022.0,7022.0,10071.0,10735.0,12018.0,118.0,0.0,0.0,12553.0,1105.0,5665.0,1665.0,10962.0,3105.0,4401.0,0.038626609,6000.0,0.0524,0.48089999999999994
2013,Alameda,0.7727146042363434,0.5707915273132664,0.8296843901052033,0.6656241114586295,1731.0,105.0,0.5891,0.0136,0.2731,0.014,4500.0,4500.0,4740.5,48.0,8876.0,8476.0,9391.0,10986.0,7761.0,430.0,119.0,49.0,14901.0,1221.0,6161.0,1710.0,11268.0,4167.0,4275.0,0.040901137,4750.0,0.0129,0.329
2014,Alameda,0.8011411310622588,0.594059405940594,0.8426610348468849,0.7446321717705033,732.0,108.0,0.4289,0.0288,0.22,0.018,3500.0,3500.0,3439.0,28.0,1374.0,765.0,2059.0,3620.0,5464.0,481.0,129.0,59.0,7134.0,1387.0,6897.0,1500.0,10500.0,3600.0,3200.0,0.05471325,3402.0,0.0304,0.17440000000000003
2016,Alameda,0.7758620689655172,0.5678160919540229,0.7817164179104478,0.6413246268656716,2390.0,197.0,0.5817,0.033,0.3542,0.04,5875.0,5575.0,6000.0,25.0,6060.0,5928.0,5892.0,8082.0,10321.0,254.0,44.0,16.0,12422.0,1220.0,7538.0,1791.0,12462.0,4158.0,4158.0,0.019736842105,6000.0,0.16709999999999997,0.1899
2015,Alameda,0.8161702127659575,0.6561702127659574,0.8296398891966759,0.6793628808864266,283.0,28.0,0.3067,0.0168,0.2127,0.0538,9500.0,9750.0,9500.0,17.0,8266.0,8149.0,8012.0,10110.0,12967.333333333334,59.0,9.0,5.0,14429.0,1488.0,9258.0,1620.0,14067.0,3897.0,4041.0,0.041030534,10243.0,0.024999999999999998,0.363
2017,Alameda,0.7358490566037735,0.4923211935059236,0.8224376731301939,0.6734072022160665,447.0,30.0,0.5575,0.0077,0.2705,0.016,4875.0,4750.0,5375.0,23.0,6092.0,6083.0,5785.0,8413.0,8797.0,283.0,8.0,1.0,12434.0,1426.0,8440.0,1854.0,16686.0,4240.0,4374.0,0.037955465587,5250.0,0.0112,0.1952
2019,Alameda,0.7677761496057498,0.5883050729188473,0.8249801113762928,0.6708035003977725,1083.0,37.0,0.4362,0.0038,0.2859,0.0067,5500.0,5500.0,5500.0,25.0,2920.0,2158.0,2968.0,6024.0,8034.0,840.0,335.0,171.0,11246.0,1168.0,7552.0,1971.0,15084.0,3996.0,3564.0,0.084228997587,5500.0,0.0559,0.1806
2021,Alameda,0.8075052119527449,0.5918461894834376,0.8450840254973924,0.645933938574464,1022.0,31.0,0.5195,0.0114,0.1744,0.0067,,,,22.0,6485.0,6013.0,5860.0,9931.0,10421.0,153.0,45.0,24.0,14837.0,1144.0,8512.0,1126.0,17254.0,4762.0,4276.0,,,0.15689999999999998,0.2771
