CollegeID,CollegeName,InputCollegeName
341,College of Alameda,Alameda
611,Allan Hancock College,Allan Hancock
231,American River College,American River
621,Antelope Valley College,Antelope Valley
521,Bakersfield College,Bakersfield
911,Barstow Community College,Barstow
345,Berkeley City College,Berkeley City
111,Butte College,Butte
411,Cabrillo College,Cabrillo
661,College of the Canyons,Canyons
811,Cerritos College,Cerritos
522,Cerro Coso Community College,Cerro Coso
921,Chaffey College,Chaffey
821,Citrus College,Citrus
576,Clovis Community College,Clovis
581,Coalinga College,Coalinga College
831,Coastline College,Coastline
591,Columbia College,Columbia
711,Compton College,Compton
311,Contra Costa College,Contra Costa
971,Copper Mountain College,Copper Mountain College
232,Cosumnes River College,Cosumnes River
981,Crafton Hills College,Crafton Hills
641,Cuesta College,Cuesta
21,Cuyamaca College,Cuyamaca
861,Cypress College,Cypress
931,College of the Desert,Desert
312,Diablo Valley College,Diablo Valley
721,El Camino College,El Camino
471,Evergreen Valley College,Evergreen Valley
121,Feather River College,Feather River
234,Folsom Lake College,Folsom Lake
422,Foothill College,Foothill
571,Fresno City College,Fresno City
862,Fullerton College,Fullerton
441,Gavilan College,Gavilan
731,Glendale Community College,Glendale
832,Golden West College,Golden West
22,Grossmont College,Grossmont
451,Hartnell College,Hartnell
31,Imperial Valley College,Imperial
892,Irvine Valley College,Irvine
221,Lake Tahoe Community College,Lake Tahoe
343,Laney College,Laney
481,Las Positas College,Las Positas
131,Lassen Community College,Lassen
582,Lemoore College,Lemoore College
841,Long Beach City College,Long Beach
313,Los Medanos College,Los Medanos
574,Madera Community College,Madera
334,College of Marin,Marin
141,Mendocino College,Mendocino
531,Merced College,Merced
344,Merritt College,Merritt
51,MiraCosta College,MiraCosta
492,Mission College,Mission
743,Los Angeles Mission College,LA Mission
592,Modesto Junior College,Modesto
461,Monterey Peninsula College,Monterey
681,Moorpark College,Moorpark
962,Moreno Valley College,Moreno Valley
941,Mt. San Jacinto College,Mt. San Jacinto
241,Napa Valley College,Napa
963,Norco College,Norco College
431,Ohlone College,Ohlone
833,Orange Coast College,Orange Coast
682,Oxnard College,Oxnard
951,Palo Verde College,Palo Verde
61,Palomar College,Palomar
771,Pasadena City College,Pasadena
523,Porterville College,Porterville
161,College of the Redwoods,Redwoods
572,Reedley College,Reedley College
881,Rio Hondo College,Rio Hondo
961,Riverside City College,Riverside
233,Sacramento City College,Sacramento City
891,Saddleback College,Saddleback
982,San Bernardino Valley College,San Bernardino
71,San Diego City College,San Diego City
72,San Diego Mesa College,San Diego Mesa
73,San Diego Miramar College,San Diego Miramar
361,City College of San Francisco,San Francisco
551,San Joaquin Delta College,San Joaquin Delta
372,College of San Mateo,San Mateo
871,Santa Ana College,Santa Ana
651,Santa Barbara City College,Santa Barbara
781,Santa Monica College,Santa Monica
261,Santa Rosa Junior College,Santa Rosa
873,Santiago Canyon College,Santiago Canyon
561,College of the Sequoias,Sequoias
171,Shasta College,Shasta
271,Sierra College,Sierra
181,College of the Siskiyous,Siskiyous
373,Skyline College,Skyline
281,Solano Community College,Solano
91,Southwestern College,Southwestern
691,Taft College,Taft
683,Ventura College,Ventura
991,Victor Valley College,Victor Valley
493,West Valley College,West Valley
292,Woodland Community College,Woodland
291,Yuba College,Yuba
371,,Canada
482,,Chabot Hayward
421,,Deanza
748,,East LA
741,,LA City
742,,LA Harbor
744,,LA Pierce
745,,LA Swest
746,,LA Trade
747,,LA Valley
851,,Mt San Antonio
472,,San Jose City
749,,West LA
