CollegeID,CollegeName,InputCollegeName
21,Cuyamaca College,Cuyamaca College
22,Grossmont College,Grossmont College
31,Imperial Valley College,Imperial Valley College
51,MiraCosta College,MiraCosta College
61,Palomar College,Palomar College
71,San Diego City College,San Diego City College
72,San Diego Mesa College,San Diego Mesa College
73,San Diego Miramar College,San Diego Miramar College
91,Southwestern College,Southwestern College
111,Butte College,Butte College
131,Lassen Community College,Lassen Community College
141,Mendocino College,Mendocino College
161,College of the Redwoods,College of the Redwoods
171,Shasta College,Shasta College
181,College of the Siskiyous,College of the Siskiyous
221,Lake Tahoe Community College,Lake Tahoe Community College
231,American River College,American River College
232,Cosumnes River College,Cosumnes River College
233,Sacramento City College,Sacramento City College
234,Folsom Lake College,Folsom Lake College
241,Napa Valley College,Napa Valley College
261,Santa Rosa Junior College,Santa Rosa Junior College
271,Sierra College,Sierra College
281,Solano Community College,Solano Community College
291,Yuba College,Yuba College
292,Woodland Community College,Woodland Community College
311,Contra Costa College,Contra Costa College
312,Diablo Valley College,Diablo Valley College
313,Los Medanos College,Los Medanos College
334,College of Marin,College of Marin
341,College of Alameda,College of Alameda
343,Laney College,Laney College
344,Merritt College,Merritt College
345,Berkeley City College,Berkeley City College
361,City College of San Francisco,City College of San Francisco
372,College of San Mateo,College of San Mateo
373,Skyline College,Skyline College
411,Cabrillo College,Cabrillo College
421,De Anza College,De Anza College
422,Foothill College,Foothill College
431,Ohlone College,Ohlone College
441,Gavilan College,Gavilan College
451,Hartnell College,Hartnell College
461,Monterey Peninsula College,Monterey Peninsula College
471,Evergreen Valley College,Evergreen Valley College
481,Las Positas College,Las Positas College
482,Chabot College,Chabot College
492,Mission College,Mission College
743,Los Angeles Mission College,Mission College
493,West Valley College,West Valley College
521,Bakersfield College,Bakersfield College
522,Cerro Coso Community College,Cerro Coso Community College
523,Porterville College,Porterville College
531,Merced College,Merced College
551,San Joaquin Delta College,San Joaquin Delta College
561,College of the Sequoias,College of the Sequoias
571,Fresno City College,Fresno City College
572,Reedley College,Reedley College
574,Madera Community College,Madera Community College
576,Clovis Community College,Clovis Community College
581,Coalinga College,Coalinga College
582,Lemoore College,Lemoore College
591,Columbia College,Columbia College
592,Modesto Junior College,Modesto Junior College
611,Allan Hancock College,Allan Hancock College
641,Cuesta College,Cuesta College
651,Santa Barbara City College,Santa Barbara City College
661,College of the Canyons,College of the Canyons
681,Moorpark College,Moorpark College
682,Oxnard College,Oxnard College
683,Ventura College,Ventura College
691,Taft College,Taft College
711,Compton College,Compton College
731,Glendale Community College,Glendale Community College
741,Los Angeles City College,Los Angeles City College
742,Los Angeles Harbor College,Los Angeles Harbor College
743,Los Angeles Mission College,Los Angeles Mission College
744,Los Angeles Pierce College,Los Angeles Pierce College
745,Los Angeles Southwest College,Los Angeles Southwest College
747,Los Angeles Valley College,Los Angeles Valley College
748,East Los Angeles College,East Los Angeles College
749,West Los Angeles College,West Los Angeles College
771,Pasadena City College,Pasadena City College
781,Santa Monica College,Santa Monica College
811,Cerritos College,Cerritos College
821,Citrus College,Citrus College
832,Golden West College,Golden West College
833,Orange Coast College,Orange Coast College
841,Long Beach City College,Long Beach City College
861,Cypress College,Cypress College
862,Fullerton College,Fullerton College
871,Santa Ana College,Santa Ana College
873,Santiago Canyon College,Santiago Canyon College
881,Rio Hondo College,Rio Hondo College
891,Saddleback College,Saddleback College
892,Irvine Valley College,Irvine Valley College
911,Barstow Community College,Barstow Community College
921,Chaffey College,Chaffey College
931,College of the Desert,College of the Desert
951,Palo Verde College,Palo Verde College
961,Riverside City College,Riverside City College
962,Moreno Valley College,Moreno Valley College
963,Norco College,Norco College
981,Crafton Hills College,Crafton Hills College
982,San Bernardino Valley College,San Bernardino Valley College
991,Victor Valley College,Victor Valley College
371,,Canada College
472,,San Jose City College
746,,Los Angeles Trade Technical College
831,,Coastline Community College
851,,Mt San Antonio College
971,,Copper Mountain Community College
