,Year,College
10,2012,Feather River
60,2012,Madera
61,2012,Clovis
67,2012,Antelope Valley
76,2012,El Camino
106,2012,Mt. San Jacinto
125,2013,Feather River
175,2013,Madera
176,2013,Clovis
182,2013,Antelope Valley
191,2013,El Camino
221,2013,Mt. San Jacinto
240,2014,Feather River
290,2014,Madera
291,2014,Clovis
297,2014,Antelope Valley
306,2014,El Camino
336,2014,Mt. San Jacinto
355,2015,Feather River
405,2015,Madera
406,2015,Clovis
412,2015,Antelope Valley
421,2015,El Camino
451,2015,Mt. San Jacinto
470,2016,Feather River
520,2016,Madera
527,2016,Antelope Valley
536,2016,El Camino
566,2016,Mt. San Jacinto
585,2017,Feather River
635,2017,Madera
642,2017,Antelope Valley
651,2017,El Camino
681,2017,Mt. San Jacinto
700,2018,Feather River
750,2018,Madera
757,2018,Antelope Valley
766,2018,El Camino
796,2018,Mt. San Jacinto
815,2019,Feather River
865,2019,Madera
872,2019,Antelope Valley
881,2019,El Camino
911,2019,Mt. San Jacinto
930,2020,Feather River
980,2020,Madera
987,2020,Antelope Valley
996,2020,El Camino
1026,2020,Mt. San Jacinto
1045,2021,Feather River
1102,2021,Antelope Valley
1111,2021,El Camino
1141,2021,Mt. San Jacinto
1160,2022,Feather River
1217,2022,Antelope Valley
1226,2022,El Camino
1256,2022,Mt. San Jacinto
1275,2023,Feather River
1332,2023,Antelope Valley
1341,2023,El Camino
1371,2023,Mt. San Jacinto
