field,major,enrolls,year,cc_name,uc_campus
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2013,ALLAN HANCOCK,Santa Barbara
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2013,ALLAN HANCOCK,Santa Barbara
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2013,ALLAN HANCOCK,Santa Barbara
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2013,ALLAN HANCOCK,Santa Cruz
PSYCHOLOGY,"Psychology, General",6,2013,ALLAN HANCOCK,Santa Barbara
PSYCHOLOGY,"Psychology, General",3,2013,ALLAN HANCOCK,Santa Cruz
SOCIAL SCIENCES,Economics,3,2013,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Sociology,4,2013,ALLAN HANCOCK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2014,ALLAN HANCOCK,Santa Barbara
ENGINEERING,Biomedical/Medical Engineering,3,2014,ALLAN HANCOCK,San Diego
PSYCHOLOGY,"Psychology, General",4,2014,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Sociology,4,2014,ALLAN HANCOCK,Santa Barbara
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,2014,ALLAN HANCOCK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2015,ALLAN HANCOCK,Santa Barbara
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2015,ALLAN HANCOCK,Santa Barbara
PSYCHOLOGY,"Psychology, General",4,2015,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Economics,3,2015,ALLAN HANCOCK,San Diego
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2016,ALLAN HANCOCK,Santa Barbara
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2016,ALLAN HANCOCK,Santa Barbara
PSYCHOLOGY,"Psychology, General",3,2016,ALLAN HANCOCK,Berkeley
PSYCHOLOGY,Research and Experimental Psychology,7,2016,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2016,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Sociology,3,2016,ALLAN HANCOCK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2017,ALLAN HANCOCK,Santa Barbara
PSYCHOLOGY,Research and Experimental Psychology,8,2017,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Sociology,5,2017,ALLAN HANCOCK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2018,ALLAN HANCOCK,Santa Barbara
PSYCHOLOGY,Research and Experimental Psychology,3,2018,ALLAN HANCOCK,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2018,ALLAN HANCOCK,Davis
SOCIAL SCIENCES,Sociology,3,2018,ALLAN HANCOCK,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,2019,ALLAN HANCOCK,Santa Barbara
