cc_name,uc_campus,year,n_admit,n_app,n_enroll,melt_count,melt_rate
ALLAN HANCOCK,Berkeley,2006,12.0,29.0,3.0,9.0,0.75
ALLAN HANCOCK,Berkeley,2007,5.0,21.0,2.0,3.0,0.6
ALLAN HANCOCK,Berkeley,2008,9.0,28.0,6.0,3.0,0.3333333333333333
ALLAN HANCOCK,Berkeley,2009,7.0,33.0,2.0,5.0,0.7142857142857143
ALLAN HANCOCK,Berkeley,2010,10.0,30.0,5.0,5.0,0.5
ALLAN HANCOCK,Berkeley,2011,4.0,31.0,1.0,3.0,0.75
ALLAN HANCOCK,Berkeley,2012,6.0,40.0,2.0,4.0,0.6666666666666666
ALLAN HANCOCK,Berkeley,2013,7.0,48.0,7.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2014,15.0,53.0,14.0,1.0,0.06666666666666667
ALLAN HANCOCK,Berkeley,2015,8.0,51.0,7.0,1.0,0.125
ALLAN HANCOCK,Berkeley,2016,9.0,60.0,9.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2017,9.0,52.0,6.0,3.0,0.3333333333333333
ALLAN HANCOCK,Berkeley,2018,12.0,53.0,7.0,5.0,0.4166666666666667
ALLAN HANCOCK,Berkeley,2019,16.0,67.0,8.0,8.0,0.5
ALLAN HANCOCK,Berkeley,2020,9.0,48.0,3.0,6.0,0.6666666666666666
ALLAN HANCOCK,Berkeley,2021,16.0,62.0,9.0,7.0,0.4375
ALLAN HANCOCK,Berkeley,2022,17.0,64.0,6.0,11.0,0.6470588235294118
ALLAN HANCOCK,Berkeley,2023,12.0,54.0,11.0,1.0,0.08333333333333333
ALLAN HANCOCK,Berkeley,2024,13.0,50.0,5.0,8.0,0.6153846153846154
ALLAN HANCOCK,Davis,2006,20.0,27.0,9.0,11.0,0.55
ALLAN HANCOCK,Davis,2007,15.0,21.0,4.0,11.0,0.7333333333333333
ALLAN HANCOCK,Davis,2008,19.0,23.0,9.0,10.0,0.5263157894736842
ALLAN HANCOCK,Davis,2009,26.0,32.0,15.0,11.0,0.4230769230769231
ALLAN HANCOCK,Davis,2010,16.0,31.0,8.0,8.0,0.5
ALLAN HANCOCK,Davis,2011,13.0,24.0,5.0,8.0,0.6153846153846154
ALLAN HANCOCK,Davis,2012,20.0,46.0,7.0,13.0,0.65
ALLAN HANCOCK,Davis,2013,29.0,51.0,13.0,16.0,0.5517241379310345
ALLAN HANCOCK,Davis,2014,37.0,66.0,10.0,27.0,0.7297297297297297
ALLAN HANCOCK,Davis,2015,29.0,52.0,9.0,20.0,0.6896551724137931
ALLAN HANCOCK,Davis,2016,23.0,63.0,8.0,15.0,0.6521739130434783
ALLAN HANCOCK,Davis,2017,33.0,64.0,12.0,21.0,0.6363636363636364
ALLAN HANCOCK,Davis,2018,30.0,56.0,11.0,19.0,0.6333333333333333
ALLAN HANCOCK,Davis,2019,34.0,71.0,5.0,29.0,0.8529411764705882
ALLAN HANCOCK,Davis,2020,25.0,52.0,4.0,21.0,0.84
ALLAN HANCOCK,Davis,2021,32.0,58.0,12.0,20.0,0.625
ALLAN HANCOCK,Davis,2022,36.0,62.0,8.0,28.0,0.7777777777777778
ALLAN HANCOCK,Davis,2023,23.0,43.0,6.0,17.0,0.7391304347826086
ALLAN HANCOCK,Davis,2024,31.0,41.0,7.0,24.0,0.7741935483870968
ALLAN HANCOCK,Irvine,2006,14.0,21.0,4.0,10.0,0.7142857142857143
ALLAN HANCOCK,Irvine,2007,16.0,25.0,5.0,11.0,0.6875
ALLAN HANCOCK,Irvine,2008,16.0,23.0,5.0,11.0,0.6875
ALLAN HANCOCK,Irvine,2009,9.0,25.0,0.0,9.0,1.0
ALLAN HANCOCK,Irvine,2010,14.0,27.0,5.0,9.0,0.6428571428571429
ALLAN HANCOCK,Irvine,2011,16.0,31.0,8.0,8.0,0.5
ALLAN HANCOCK,Irvine,2012,22.0,61.0,6.0,16.0,0.7272727272727273
ALLAN HANCOCK,Irvine,2013,27.0,65.0,6.0,21.0,0.7777777777777778
