cc_name,year,cc_aid_promise_amt,cc_aid_grants_amt,cc_aid_loans_amt,cc_aid_scholarship_amt,cc_key
ALAMEDA,2005,1085696.0,3177157.0,100801.0,19591.0,ALAMEDA
ALAMEDA,2006,1204515.0,3122790.0,112840.0,16721.0,ALAMEDA
ALAMEDA,2007,1099959.0,3058611.0,101014.0,9676.0,ALAMEDA
ALAMEDA,2008,914730.0,3476723.0,66825.0,27819.0,ALAMEDA
ALAMEDA,2009,1148620.0,3745699.0,231350.0,5500.0,ALAMEDA
ALAMEDA,2010,1469319.0,5055887.0,277249.0,51078.0,ALAMEDA
ALAMEDA,2011,1636492.0,5750357.0,379764.0,38186.0,ALAMEDA
ALAMEDA,2012,2165538.0,6454144.0,584963.0,43851.0,ALAMEDA
ALAMEDA,2013,2935732.0,6476138.0,536304.0,35969.0,ALAMEDA
ALAMEDA,2014,2926014.0,6941365.0,595060.0,55598.0,ALAMEDA
ALAMEDA,2015,2892273.0,7367968.0,457844.0,22624.0,ALAMEDA
ALAMEDA,2016,2764508.0,7026872.0,448074.0,29300.0,ALAMEDA
ALAMEDA,2017,2479262.0,6476332.0,352100.0,21954.0,ALAMEDA
ALAMEDA,2018,2464427.0,6186138.0,321071.0,26080.0,ALAMEDA
ALAMEDA,2019,2303174.0,5978107.0,265627.0,16612.0,ALAMEDA
ALAMEDA,2020,1809525.0,6156604.0,236053.0,10144.0,ALAMEDA
ALAMEDA,2021,1627181.0,6244519.0,256285.0,3000.0,ALAMEDA
ALAMEDA,2022,1373790.0,6021521.0,185590.0,12128.0,ALAMEDA
ALAMEDA,2023,1719825.0,5986788.0,224219.0,11643.0,ALAMEDA
ALAMEDA,2024,1875604.0,6473072.0,298658.0,27313.0,ALAMEDA
ALAMEDA,2025,1844439.0,7651681.0,518584.0,23364.0,ALAMEDA
ALLAN HANCOCK,2005,2003350.0,3991392.0,455726.0,103186.0,ALLAN HANCOCK
