cc_key,year,cc_perm_resident_count
ALAMEDA,2005,1124.0
ALAMEDA,2006,1075.0
ALAMEDA,2007,1137.0
ALAMEDA,2008,1244.0
ALAMEDA,2009,1089.0
ALAMEDA,2010,1139.0
ALAMEDA,2011,980.0
ALAMEDA,2012,999.0
ALAMEDA,2013,926.0
ALAMEDA,2014,858.0
ALAMEDA,2015,313.0
ALAMEDA,2016,173.0
ALAMEDA,2017,141.0
ALAMEDA,2018,270.0
ALAMEDA,2019,449.0
ALAMEDA,2020,801.0
ALAMEDA,2021,743.0
ALAMEDA,2022,633.0
ALAMEDA,2023,594.0
ALAMEDA,2024,592.0
ALAMEDA,2025,575.0
ALLAN HANCOCK,2005,609.0
ALLAN HANCOCK,2006,744.0
ALLAN HANCOCK,2007,1054.0
ALLAN HANCOCK,2008,860.0
ALLAN HANCOCK,2009,1423.0
ALLAN HANCOCK,2010,1269.0
ALLAN HANCOCK,2011,1150.0
ALLAN HANCOCK,2012,996.0
ALLAN HANCOCK,2013,1002.0
ALLAN HANCOCK,2014,989.0
ALLAN HANCOCK,2015,991.0
ALLAN HANCOCK,2016,909.0
ALLAN HANCOCK,2017,845.0
ALLAN HANCOCK,2018,860.0
ALLAN HANCOCK,2019,767.0
ALLAN HANCOCK,2020,665.0
ALLAN HANCOCK,2021,523.0
ALLAN HANCOCK,2022,618.0
ALLAN HANCOCK,2023,498.0
ALLAN HANCOCK,2024,430.0
ALLAN HANCOCK,2025,358.0
AMERICAN RIVER,2005,260.0
AMERICAN RIVER,2006,295.0
AMERICAN RIVER,2007,375.0
AMERICAN RIVER,2008,421.0
AMERICAN RIVER,2009,3356.0
AMERICAN RIVER,2010,3522.0
AMERICAN RIVER,2011,3418.0
AMERICAN RIVER,2012,3140.0
AMERICAN RIVER,2013,3136.0
AMERICAN RIVER,2014,2900.0
AMERICAN RIVER,2015,2738.0
AMERICAN RIVER,2016,2799.0
AMERICAN RIVER,2017,2703.0
AMERICAN RIVER,2018,2717.0
AMERICAN RIVER,2019,2804.0
AMERICAN RIVER,2020,2904.0
AMERICAN RIVER,2021,2717.0
AMERICAN RIVER,2022,2497.0
AMERICAN RIVER,2023,2188.0
AMERICAN RIVER,2024,2092.0
AMERICAN RIVER,2025,2091.0
ANTELOPE VALLEY,2005,77.0
ANTELOPE VALLEY,2006,123.0
ANTELOPE VALLEY,2007,171.0
ANTELOPE VALLEY,2008,210.0
ANTELOPE VALLEY,2009,758.0
ANTELOPE VALLEY,2010,736.0
