year,cc_ftft_pell_rate,cc_ftft_fedloan_rate,cc_pell_rate,cc_fedloan_rate,cc_ug_enroll_12m,cc_coa_ay,cc_name
2012,0.5153,0.0245,0.234,0.0183,17470.0,10821.0,ALLAN HANCOCK
2013,0.5379,0.0345,0.2424,0.0227,17141.0,10735.0,ALLAN HANCOCK
2014,0.5489,0.0391,0.2531,0.0231,16691.0,11111.0,ALLAN HANCOCK
2015,0.5525,0.0263,0.2598,0.0205,16647.0,10601.0,ALLAN HANCOCK
2016,0.5138,0.0138,0.243,0.0157,16958.0,9932.0,ALLAN HANCOCK
2017,0.491,0.0255,0.2102,0.0111,17716.0,10348.0,ALLAN HANCOCK
2018,0.5247,0.013,0.2105,0.0135,17070.0,10784.0,ALLAN HANCOCK
2019,0.4864,0.0047,0.2179,0.0106,15587.0,10969.0,ALLAN HANCOCK
2020,0.5629,0.0108,0.2357,0.0088,16689.0,10701.0,ALLAN HANCOCK
2021,0.5,0.0035,0.2293,0.0048,14876.0,11135.0,ALLAN HANCOCK
2022,0.5232,0.0072,0.2341,0.0067,15100.0,10744.0,ALLAN HANCOCK
2023,0.5333,0.0067,0.2327,0.0079,15608.0,11544.0,ALLAN HANCOCK
2012,0.5695,0.1215,0.2928,0.0865,47974.0,11417.0,AMERICAN RIVER
2013,0.5892,0.096,0.2858,0.0686,45539.0,12319.0,AMERICAN RIVER
2014,0.5506,0.0605,0.2843,0.056,43334.0,12513.0,AMERICAN RIVER
2015,0.5468,0.0442,0.2737,0.042,43154.0,13250.0,AMERICAN RIVER
2016,0.5502,0.0259,0.2751,0.039,46579.0,13611.0,AMERICAN RIVER
2017,0.4538,0.0324,0.2399,0.036,46012.0,12098.0,AMERICAN RIVER
2018,0.4874,0.0307,0.2148,0.03,46394.0,11961.0,AMERICAN RIVER
2019,0.4502,0.0364,0.2157,0.0306,46047.0,12331.0,AMERICAN RIVER
2020,0.4855,0.0303,0.2266,0.0312,45034.0,12243.0,AMERICAN RIVER
2021,0.4124,0.0086,0.2486,0.0301,38602.0,13465.0,AMERICAN RIVER
2022,0.4294,0.0214,0.2277,0.0278,41538.0,12586.0,AMERICAN RIVER
2023,0.4553,0.0298,0.1989,0.0272,42387.0,12986.0,AMERICAN RIVER
2012,0.6454,0.1691,0.5021,0.1805,17899.0,11707.0,ANTELOPE VALLEY
2013,0.6648,0.1232,0.5111,0.1692,17355.0,11430.0,ANTELOPE VALLEY
2014,0.695,0.1249,0.5291,0.151,18817.0,11616.0,ANTELOPE VALLEY
2015,0.6742,0.0871,0.5236,0.1144,18985.0,11490.0,ANTELOPE VALLEY
2016,0.6455,0.0375,0.4879,0.0851,18654.0,9973.0,ANTELOPE VALLEY
2017,0.6316,0.0739,0.4564,0.112,18189.0,15110.0,ANTELOPE VALLEY
2018,0.6651,0.0842,0.4596,0.1157,18532.0,13084.0,ANTELOPE VALLEY
2019,0.6067,0.0432,0.4286,0.0707,18541.0,12595.0,ANTELOPE VALLEY
2020,0.6055,0.0329,0.4422,0.0565,18528.0,16422.0,ANTELOPE VALLEY
2021,0.4953,0.0084,0.3682,0.0274,15487.0,11709.0,ANTELOPE VALLEY
2022,0.4938,0.0062,0.3777,0.0273,14843.0,9507.0,ANTELOPE VALLEY
2023,0.4513,0.0173,0.4203,0.0416,15482.0,15158.0,ANTELOPE VALLEY
2012,0.6061,0.0201,0.4518,0.0439,24675.0,8522.0,BAKERSFIELD
2013,0.5546,0.024,0.3905,0.0401,23674.0,8732.0,BAKERSFIELD
2014,0.5894,0.0152,0.3976,0.0328,24908.0,10060.0,BAKERSFIELD
2015,0.6359,0.0123,0.411,0.0273,25878.0,9627.0,BAKERSFIELD
2016,0.602,0.0082,0.3689,0.0188,28307.0,9472.0,BAKERSFIELD
2017,0.5943,0.0127,0.3418,0.0169,31636.0,12027.0,BAKERSFIELD
2018,0.6081,0.0084,0.342,0.0155,33600.0,12467.0,BAKERSFIELD
2019,0.5994,0.005,0.3287,0.0122,36168.0,12415.0,BAKERSFIELD
2020,0.6279,0.0032,0.3355,0.0105,37642.0,13774.0,BAKERSFIELD
2021,0.5412,0.002,0.2842,0.0069,35587.0,13485.0,BAKERSFIELD
2022,0.4906,0.0043,0.2492,0.0061,37017.0,13920.0,BAKERSFIELD
2023,0.6509,0.0075,0.2876,0.0085,39530.0,13726.0,BAKERSFIELD
2012,0.7633,0.0,0.5615,0.0,5076.0,12913.0,BARSTOW
2013,0.7229,0.0,0.4941,0.0,5505.0,14930.0,BARSTOW
2014,0.6679,0.0,0.4902,0.0,4974.0,14455.0,BARSTOW
2015,0.7791,0.0,0.5019,0.0,3306.0,14776.0,BARSTOW
2016,0.752,0.0,0.5177,0.0,4777.0,14789.0,BARSTOW
2017,0.719,0.0,0.4962,0.0,4930.0,14307.0,BARSTOW
2018,0.6655,0.0,0.5193,0.0,4588.0,16152.0,BARSTOW
2019,0.7168,0.0,0.5233,0.0,4641.0,17218.0,BARSTOW
2020,0.6587,0.0,0.5388,0.0,4545.0,16983.0,BARSTOW
2021,0.6723,0.0734,0.4861,0.0896,3552.0,17676.0,BARSTOW
2022,0.6667,0.1026,0.5062,0.1064,3615.0,17693.0,BARSTOW
2023,0.7734,0.1484,0.4745,0.1231,4614.0,20871.0,BARSTOW
2012,0.4793,0.0483,0.1789,0.022,11131.0,10612.0,BERKELEY CITY
2013,0.2955,0.017,0.1913,0.022,10953.0,12466.0,BERKELEY CITY
2014,0.3896,0.0519,0.1892,0.0216,11256.0,14551.0,BERKELEY CITY
2015,0.5026,0.0359,0.2382,0.0229,11532.0,13296.0,BERKELEY CITY
2016,0.3281,0.0201,0.1891,0.0187,12028.0,13200.0,BERKELEY CITY
2017,0.2983,0.021,0.1774,0.0184,11463.0,15314.0,BERKELEY CITY
2018,0.3241,0.0123,0.1855,0.0165,11081.0,13252.0,BERKELEY CITY
2019,0.3108,0.0216,0.1708,0.0154,10549.0,16393.0,BERKELEY CITY
2020,0.3135,0.0063,0.1674,0.0118,10158.0,15451.0,BERKELEY CITY
2021,0.3066,0.0094,0.1254,0.0077,10795.0,19681.0,BERKELEY CITY
2022,0.2265,0.0055,0.1164,0.007,9904.0,17404.0,BERKELEY CITY
2023,0.3415,0.0203,0.1258,0.0096,10471.0,17110.0,BERKELEY CITY
2012,0.5861,0.1099,0.5236,0.1716,16587.0,10138.0,BUTTE
2013,0.5675,0.096,0.4933,0.1393,15836.0,11493.0,BUTTE
2014,0.5882,0.0898,0.4845,0.1223,15408.0,11324.0,BUTTE
2015,0.5916,0.0722,0.4761,0.0967,15396.0,11383.0,BUTTE
2016,0.5678,0.0585,0.4496,0.0838,14862.0,11595.0,BUTTE
2017,0.5553,0.0475,0.4163,0.0719,14252.0,11717.0,BUTTE
2018,0.5293,0.0419,0.3987,0.0622,14144.0,11336.0,BUTTE
2019,0.495,0.036,0.3731,0.0516,13659.0,12772.0,BUTTE
2020,0.531,0.0364,0.3941,0.0526,12816.0,13806.0,BUTTE
2021,0.467,0.0177,0.3298,0.0279,12100.0,14581.0,BUTTE
2022,0.4943,0.0114,0.3378,0.0256,12205.0,14811.0,BUTTE
2023,0.511,0.0201,0.3359,0.0297,12523.0,13636.0,BUTTE
2012,0.4547,0.0397,0.2461,0.0435,19267.0,12570.0,CABRILLO
2013,0.4312,0.043,0.2477,0.0367,18015.0,12665.0,CABRILLO
2014,0.4554,0.0204,0.2442,0.0317,18075.0,14153.0,CABRILLO
2015,0.4255,0.0184,0.2375,0.0253,18087.0,14329.0,CABRILLO
2016,0.4091,0.0149,0.2181,0.0227,17887.0,14686.0,CABRILLO
2017,0.3782,0.0103,0.2195,0.0189,17517.0,14270.0,CABRILLO
2018,0.3886,0.0088,0.2117,0.0172,17467.0,14848.0,CABRILLO
2019,0.3806,0.0064,0.1997,0.014,16514.0,15896.0,CABRILLO
2020,0.3828,0.0073,0.2008,0.0113,16023.0,19207.0,CABRILLO
2021,0.3179,0.0042,0.1998,0.0095,14473.0,20716.0,CABRILLO
2022,0.3942,0.0028,0.2113,0.0071,13574.0,22496.0,CABRILLO
2023,0.4197,0.0018,0.224,0.0108,14079.0,23625.0,CABRILLO
2012,0.3498,0.0248,0.1668,0.018,10671.0,11075.0,CANADA
2013,0.2896,0.0116,0.1566,0.0179,10682.0,9010.0,CANADA
2014,0.3234,0.0149,0.1492,0.013,10812.0,8489.0,CANADA
2015,0.2713,0.0243,0.1527,0.0109,10740.0,9733.0,CANADA
2016,0.2444,0.0095,0.1308,0.009,10595.0,9432.0,CANADA
2017,0.2329,0.004,0.1087,0.0121,10524.0,9513.0,CANADA
2018,0.2607,0.0039,0.1122,0.0094,10216.0,10446.0,CANADA
2019,0.2893,0.0,0.1011,0.0075,10123.0,9638.0,CANADA
2020,0.2829,0.0029,0.1047,0.0036,9575.0,9662.0,CANADA
2021,0.2892,0.0,0.0849,0.0031,9598.0,9715.0,CANADA
2022,0.3791,0.0065,0.0914,0.0019,9059.0,11335.0,CANADA
2023,0.3269,0.0038,0.1001,0.0052,9782.0,9514.0,CANADA
2012,0.624,0.0485,0.4535,0.0404,27724.0,8354.0,CERRITOS
2013,0.6325,0.039,0.4706,0.0441,26938.0,9083.0,CERRITOS
2014,0.4864,0.0537,0.3847,0.0388,27467.0,13699.0,CERRITOS
2015,0.6577,0.029,0.4764,0.0346,28138.0,8824.0,CERRITOS
2016,0.6438,0.0495,0.4344,0.0318,27908.0,15112.0,CERRITOS
2017,0.6036,0.0366,0.4146,0.0302,27673.0,14874.0,CERRITOS
2018,0.6062,0.0216,0.4244,0.0281,27901.0,8787.0,CERRITOS
2019,0.5671,0.0224,0.3833,0.0254,28922.0,8665.0,CERRITOS
2020,0.6252,0.015,0.3957,0.0257,29631.0,9395.0,CERRITOS
2021,0.5257,0.0161,0.365,0.0206,28040.0,13286.0,CERRITOS
2022,0.5703,0.0128,0.3626,0.0194,26691.0,9184.0,CERRITOS
2023,0.6069,0.0123,0.35,0.0227,28050.0,8409.0,CERRITOS
2012,0.4163,0.0,0.1718,0.0,10234.0,11752.0,CERRO COSO
2013,0.3547,0.0,0.1763,0.0,8016.0,11064.0,CERRO COSO
2014,0.4267,0.0,0.2087,0.0,8303.0,12930.0,CERRO COSO
2015,0.4785,0.0,0.2811,0.0,7872.0,12239.0,CERRO COSO
2016,0.4924,0.0,0.2446,0.0,8198.0,11313.0,CERRO COSO
2017,0.379,0.0,0.1585,0.0,8683.0,14137.0,CERRO COSO
2018,0.4244,0.0,0.1383,0.0,9291.0,16699.0,CERRO COSO
2019,0.3846,0.0,0.1294,0.0,9825.0,14278.0,CERRO COSO
2020,0.481,0.057,0.1486,0.0041,9606.0,17346.0,CERRO COSO
2021,0.2549,0.0245,0.1342,0.0099,7774.0,16281.0,CERRO COSO
2022,0.3922,0.0065,0.1397,0.0045,7778.0,16120.0,CERRO COSO
2023,0.3784,0.0108,0.1409,0.0102,8063.0,15161.0,CERRO COSO
2012,0.5482,0.0245,0.2658,0.0271,19023.0,11351.0,CHABOT
2013,0.5226,0.0125,0.2546,0.0212,18149.0,11269.0,CHABOT
2014,0.4669,0.0168,0.2354,0.0162,18300.0,11971.0,CHABOT
2015,0.4557,0.0133,0.2295,0.0137,18528.0,11123.0,CHABOT
2016,0.4355,0.0215,0.2114,0.0152,19599.0,11583.0,CHABOT
2017,0.4156,0.0137,0.1993,0.0126,19844.0,11777.0,CHABOT
2018,0.4196,0.0076,0.1923,0.0092,19853.0,12068.0,CHABOT
2019,0.3756,0.0183,0.1739,0.0091,20005.0,12030.0,CHABOT
2020,0.4291,0.0079,0.1944,0.0088,19951.0,12377.0,CHABOT
2021,0.3072,0.0054,0.1659,0.0063,18128.0,13354.0,CHABOT
2022,0.3467,0.0012,0.1693,0.0043,17500.0,13831.0,CHABOT
2023,0.3991,0.0077,0.1782,0.005,17054.0,12953.0,CHABOT
2012,0.6147,0.0,0.4027,0.0,23170.0,13065.0,CHAFFEY
2013,0.5243,0.0,0.3683,0.0,22712.0,14156.0,CHAFFEY
2014,0.595,0.0,0.3467,0.0,25305.0,14159.0,CHAFFEY
2015,0.5739,0.0,0.3606,0.0,25111.0,14888.0,CHAFFEY
2016,0.5381,0.0,0.3276,0.0,27430.0,15215.0,CHAFFEY
2017,0.5122,0.0,0.3232,0.0,28430.0,15463.0,CHAFFEY
2018,0.4724,0.0,0.2867,0.0,29808.0,16400.0,CHAFFEY
2019,0.4644,0.0,0.2953,0.0,30177.0,17179.0,CHAFFEY
2020,0.4926,0.0,0.3167,0.0001,30023.0,18264.0,CHAFFEY
2021,0.3994,0.0015,0.2807,0.0009,27808.0,18583.0,CHAFFEY
2022,0.4343,0.0023,0.2715,0.0037,27715.0,18878.0,CHAFFEY
2023,0.5127,0.0036,0.2834,0.006,29462.0,13553.0,CHAFFEY
2012,0.4696,0.0334,0.3283,0.0277,16130.0,8361.0,CITRUS
2013,0.4609,0.0216,0.3254,0.0307,16182.0,8256.0,CITRUS
2014,0.5026,0.0213,0.3228,0.0237,17483.0,9245.0,CITRUS
2015,0.4601,0.0177,0.3165,0.0223,17281.0,9627.0,CITRUS
2016,0.457,0.0108,0.3143,0.0178,17908.0,9281.0,CITRUS
2017,0.4547,0.0103,0.311,0.0186,18524.0,9307.0,CITRUS
2018,0.4599,0.0081,0.3112,0.017,18733.0,11341.0,CITRUS
2019,0.4215,0.0095,0.2903,0.012,18672.0,10473.0,CITRUS
2020,0.48,0.0054,0.3168,0.0117,18592.0,12322.0,CITRUS
2021,0.3853,0.0045,0.2575,0.0075,16879.0,13090.0,CITRUS
2022,0.4623,0.0012,0.2748,0.0076,14394.0,11309.0,CITRUS
2023,0.4773,0.0101,0.2898,0.012,14585.0,12412.0,CITRUS
2012,0.4579,0.0502,0.2608,0.0454,48279.0,9591.0,CITY OF SAN FRANCISCO
2013,0.4491,0.0311,0.2581,0.0399,41548.0,9475.0,CITY OF SAN FRANCISCO
2014,0.4214,0.0334,0.2443,0.0521,38132.0,9829.0,CITY OF SAN FRANCISCO
