cc_name,uc_campus,cc_uc_distance_miles,cc_uc_drive_hours
ALLAN HANCOCK,Berkeley,264.32,4.18
ALLAN HANCOCK,Davis,317.68,4.88
ALLAN HANCOCK,Irvine,198.49,3.27
ALLAN HANCOCK,Los Angeles,162.75,2.72
ALLAN HANCOCK,Merced,230.16,3.83
ALLAN HANCOCK,Riverside,213.58,3.57
ALLAN HANCOCK,San Diego,295.66,4.68
ALLAN HANCOCK,University of California-San Francisco,267.79,4.22
ALLAN HANCOCK,Santa Barbara,66.67,1.16
ALLAN HANCOCK,Santa Cruz,200.09,3.27
AMERICAN RIVER,Berkeley,89.16,1.62
AMERICAN RIVER,Davis,24.91,0.5
AMERICAN RIVER,Irvine,439.14,6.88
AMERICAN RIVER,Los Angeles,398.2,6.26
AMERICAN RIVER,Merced,126.49,2.14
AMERICAN RIVER,Riverside,448.84,7.1
AMERICAN RIVER,San Diego,530.92,8.26
AMERICAN RIVER,University of California-San Francisco,99.77,1.74
AMERICAN RIVER,Santa Barbara,407.06,6.38
AMERICAN RIVER,Santa Cruz,159.16,2.66
ANTELOPE VALLEY,Berkeley,353.26,5.68
ANTELOPE VALLEY,Davis,376.11,5.97
ANTELOPE VALLEY,Irvine,115.11,2.07
ANTELOPE VALLEY,Los Angeles,74.17,1.45
ANTELOPE VALLEY,Merced,257.31,4.17
ANTELOPE VALLEY,Riverside,89.5,1.81
ANTELOPE VALLEY,San Diego,184.83,3.03
ANTELOPE VALLEY,University of California-San Francisco,364.19,5.84
ANTELOPE VALLEY,Santa Barbara,117.9,2.18
ANTELOPE VALLEY,Santa Cruz,323.96,5.36
BAKERSFIELD,Berkeley,277.33,4.46
BAKERSFIELD,Davis,300.17,4.75
BAKERSFIELD,Irvine,153.33,2.49
BAKERSFIELD,Los Angeles,112.39,1.85
BAKERSFIELD,Merced,169.8,2.74
BAKERSFIELD,Riverside,163.03,2.73
BAKERSFIELD,San Diego,232.67,3.57
BAKERSFIELD,University of California-San Francisco,288.26,4.63
BAKERSFIELD,Santa Barbara,153.75,2.52
BAKERSFIELD,Santa Cruz,248.02,4.15
BARSTOW,Berkeley,406.21,6.53
BARSTOW,Davis,420.57,6.67
BARSTOW,Irvine,115.22,1.87
BARSTOW,Los Angeles,111.1,1.74
BARSTOW,Merced,298.51,4.75
BARSTOW,Riverside,91.48,1.57
BARSTOW,San Diego,177.93,2.69
BARSTOW,University of California-San Francisco,417.14,6.69
BARSTOW,Santa Barbara,213.91,3.28
BARSTOW,Santa Cruz,376.9,6.24
BERKELEY CITY,Berkeley,1.93,0.21
BERKELEY CITY,Davis,63.34,1.14
BERKELEY CITY,Irvine,419.27,6.67
BERKELEY CITY,Los Angeles,378.33,6.05
BERKELEY CITY,Merced,128.24,2.31
BERKELEY CITY,Riverside,428.97,6.89
BERKELEY CITY,San Diego,511.05,8.07
BERKELEY CITY,University of California-San Francisco,16.15,0.57
BERKELEY CITY,Santa Barbara,327.23,5.3
BERKELEY CITY,Santa Cruz,78.5,1.53
BUTTE,Berkeley,154.99,2.66
BUTTE,Davis,90.74,1.53
BUTTE,Irvine,507.38,7.98
BUTTE,Los Angeles,466.44,7.37
BUTTE,Merced,198.3,3.3
BUTTE,Riverside,517.08,8.18
BUTTE,San Diego,577.1,8.98
BUTTE,University of California-San Francisco,165.59,2.77
BUTTE,Santa Barbara,472.88,7.4
BUTTE,Santa Cruz,224.99,3.68
CABRILLO,Berkeley,82.07,1.55
CABRILLO,Davis,136.34,2.27
CABRILLO,Irvine,380.47,6.1
CABRILLO,Los Angeles,352.81,5.61
CABRILLO,Merced,124.84,2.33
CABRILLO,Riverside,390.17,6.31
CABRILLO,San Diego,472.25,7.54
CABRILLO,University of California-San Francisco,78.3,1.45
CABRILLO,Santa Barbara,256.73,4.08
CABRILLO,Santa Cruz,10.71,0.35
CANADA,Berkeley,43.12,0.96
CANADA,Davis,101.23,1.73
CANADA,Irvine,407.37,6.4
CANADA,Los Angeles,366.42,5.78
CANADA,Merced,141.78,2.45
CANADA,Riverside,417.06,6.61
CANADA,San Diego,499.14,7.81
CANADA,University of California-San Francisco,28.77,0.64
CANADA,Santa Barbara,306.08,4.82
CANADA,Santa Cruz,50.05,0.98
CERRITOS,Berkeley,390.15,6.35
CERRITOS,Davis,412.99,6.65
CERRITOS,Irvine,27.1,0.51
CERRITOS,Los Angeles,15.6,0.39
CERRITOS,Merced,294.2,4.83
CERRITOS,Riverside,56.04,1.23
CERRITOS,San Diego,96.81,1.49
CERRITOS,University of California-San Francisco,401.08,6.51
CERRITOS,Santa Barbara,124.86,2.11
CERRITOS,Santa Cruz,360.84,6.06
CERRO COSO,Berkeley,392.65,6.39
CERRO COSO,Davis,415.5,6.69
CERRO COSO,Irvine,165.05,2.92
CERRO COSO,Los Angeles,160.93,2.75
CERRO COSO,Merced,284.95,4.61
CERRO COSO,Riverside,132.48,2.4
CERRO COSO,San Diego,222.32,3.73
CERRO COSO,University of California-San Francisco,403.58,6.56
CERRO COSO,Santa Barbara,225.88,3.78
CERRO COSO,Santa Cruz,363.35,6.1
CHABOT,Berkeley,24.34,0.62
CHABOT,Davis,84.06,1.45
CHABOT,Irvine,408.87,6.5
CHABOT,Los Angeles,367.93,5.88
CHABOT,Merced,117.84,2.15
CHABOT,Riverside,418.57,6.72
CHABOT,San Diego,500.65,7.91
CHABOT,University of California-San Francisco,34.61,0.76
CHABOT,Santa Barbara,308.03,4.89
CHABOT,Santa Cruz,59.3,1.16
CHAFFEY,Berkeley,408.65,6.55
CHAFFEY,Davis,431.5,6.84
CHAFFEY,Irvine,54.3,0.96
CHAFFEY,Los Angeles,39.63,0.7
CHAFFEY,Merced,312.7,5.02
CHAFFEY,Riverside,28.78,0.76
CHAFFEY,San Diego,115.23,1.78
CHAFFEY,University of California-San Francisco,419.58,6.7
CHAFFEY,Santa Barbara,142.61,2.27
CHAFFEY,Santa Cruz,379.35,6.25
CITRUS,Berkeley,390.57,6.29
CITRUS,Davis,413.41,6.59
CITRUS,Irvine,44.12,0.84
CITRUS,Los Angeles,21.54,0.44
CITRUS,Merced,294.62,4.77
CITRUS,Riverside,40.04,0.98
CITRUS,San Diego,109.68,1.76
CITRUS,University of California-San Francisco,401.5,6.46
CITRUS,Santa Barbara,124.53,2.02
